#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1        0.48618        0.48618              0
              2       0.459003       0.472591     0.00960866
              3       0.494695       0.479959     0.00878771
              4       0.407913       0.461948      0.0169337
              5       0.422768       0.454112      0.0152526
              6       0.426406       0.449494      0.0133912
              7       0.400418       0.442483      0.0131863
              8       0.449598       0.443373       0.011568
              9       0.480017       0.447444      0.0109758
             10       0.441397       0.446839     0.00989488
             11       0.426858       0.445023     0.00916056
             12       0.426902       0.443513     0.00852074
             13       0.429228       0.442414     0.00793583
             14       0.454619       0.443286     0.00741672
             15       0.406817       0.440854     0.00730992
             16       0.496443       0.444329     0.00763418
             17       0.477079       0.446255     0.00742421
             18       0.432836        0.44551     0.00704909
             19       0.492102       0.447962      0.0070918
             20       0.385979       0.444863     0.00738339
