#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1        0.21572        0.21572              0
              2       0.215156       0.215438    0.000199706
              3       0.212345       0.214407    0.000852347
              4       0.209549       0.213192     0.00123088
              5       0.210308       0.212616     0.00111166
              6       0.213394       0.212745    0.000933919
              7       0.212424       0.212699    0.000801631
              8       0.213021       0.212739    0.000702435
              9       0.212927        0.21276    0.000624695
             10       0.212792       0.212763    0.000562233
             11       0.214978       0.212965    0.000545977
             12       0.216019       0.213219    0.000556661
             13       0.213189       0.213217    0.000513846
             14       0.209611       0.212959    0.000537832
             15       0.211413       0.212856    0.000511763
             16       0.208392       0.212577    0.000550619
             17       0.214238       0.212675    0.000526822
             18        0.21473       0.212789     0.00050978
             19       0.213422       0.212823    0.000484037
             20        0.21301       0.212832    0.000459926
