#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.51883        1.51883              0
              2        1.45667        1.48775      0.0219751
              3         1.5198        1.49843      0.0170511
              4        1.53182        1.50678      0.0146899
              5        1.49528        1.50448      0.0119308
              6        1.49455        1.50283      0.0100564
              7        1.51197        1.50413     0.00870426
              8        1.53128        1.50753     0.00825125
              9        1.50248        1.50697     0.00735349
             10         1.4991        1.50618     0.00666009
             11        1.53986        1.50924     0.00672189
             12        1.55363        1.51294     0.00710715
             13         1.5182        1.51334     0.00657194
             14        1.48814        1.51154     0.00634432
             15        1.49683        1.51056     0.00599669
             16        1.48131        1.50874     0.00589395
             17        1.52273        1.50956     0.00560443
             18        1.49574        1.50879     0.00534538
             19        1.48302        1.50743     0.00523328
             20        1.50815        1.50747     0.00497174
