#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847791   -0.847791           0
           2   -0.850998   -0.849395  0.00113394
           3   -0.851196   -0.849995  0.00090109
           4   -0.847278   -0.849316 0.000895967
           5   -0.849562   -0.849365 0.000718122
           6    -0.84766   -0.849081 0.000652245
           7   -0.847327    -0.84883 0.000605269
           8   -0.849816   -0.848954 0.000542013
           9   -0.851047   -0.849186 0.000529361
          10   -0.845322     -0.8488 0.000601154
          11   -0.846405   -0.848582 0.000584585
          12   -0.848242   -0.848554 0.000536557
          13   -0.848747   -0.848569 0.000495489
          14    -0.84732   -0.848479 0.000468056
          15   -0.847093   -0.848387 0.000445889
          16   -0.848236   -0.848378  0.00041812
          17   -0.849238   -0.848428 0.000396578
          18   -0.848651   -0.848441 0.000374738
          19   -0.847418   -0.848387 0.000358858
          20   -0.845764   -0.848256 0.000364095
