#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1       0.110832       0.110832              0
              2       0.112801       0.111816    0.000696314
              3       0.108259       0.110631     0.00107373
              4       0.114104       0.111499     0.00110187
              5       0.111711       0.111541    0.000882308
              6       0.117503       0.112535     0.00116764
              7       0.116873       0.113155     0.00115361
              8       0.120893       0.114122     0.00135556
              9      0.0994653       0.112493     0.00195173
             10       0.112006       0.112445     0.00175716
             11       0.109191       0.112149     0.00162213
             12       0.104591       0.111519     0.00160459
             13       0.105652       0.111068     0.00154333
             14        0.12626       0.112153     0.00177404
             15       0.111875       0.112134     0.00165587
             16       0.113588       0.112225     0.00155487
             17       0.108497       0.112006     0.00147879
             18       0.113219       0.112073     0.00139817
             19       0.109657       0.111946     0.00133036
             20       0.102607       0.111479     0.00134328
