#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.396439       0.396439              0
              2       0.396443       0.396441    1.60177e-06
              3       0.397594       0.396825     0.00031372
              4       0.396066       0.396635    0.000287074
              5       0.396187       0.396546    0.000243278
              6       0.393724       0.396075    0.000474767
              7       0.397575        0.39629    0.000452715
              8       0.396015       0.396255    0.000397424
              9       0.401092       0.396793     0.00061767
             10       0.406931       0.397806     0.00111086
             11       0.397608       0.397788     0.00101002
             12        0.39987       0.397962    0.000940637
             13       0.397305       0.397911    0.000869636
             14       0.394587       0.397674    0.000839309
             15       0.400675       0.397874     0.00080685
             16       0.400992       0.398069    0.000779598
             17        0.39916       0.398133    0.000736378
             18       0.389249        0.39764    0.000844818
             19        0.39267       0.397378    0.000839872
             20       0.399069       0.397463    0.000802124
