#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.90504        1.90504              0
              2        1.86122        1.88313      0.0154911
              3        1.91015        1.89214      0.0126774
              4        1.90525        1.89542     0.00992306
              5        1.82588        1.88151      0.0147558
              6        1.88819        1.88262      0.0123384
              7        1.90963        1.88648      0.0111627
              8        1.86837        1.88422     0.00999425
              9        1.91727        1.88789     0.00953489
             10        1.89975        1.88908      0.0086549
             11         1.9312        1.89291     0.00867415
             12        1.89542        1.89312     0.00795384
             13        1.87167        1.89147      0.0075112
             14        1.92036        1.89353     0.00725274
             15        1.95912         1.8979     0.00797913
             16        1.90689        1.89846     0.00750016
             17        1.91936        1.89969     0.00715897
             18        1.93091        1.90143     0.00696811
             19        1.89509        1.90109     0.00660934
             20        1.92756        1.90242     0.00640997
