#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483185   -0.483185           0
           2   -0.481215     -0.4822 0.000696822
           3    -0.48268    -0.48236 0.000482567
           4   -0.484131   -0.482803 0.000527253
           5   -0.481535   -0.482549 0.000478939
           6   -0.483342   -0.482681 0.000416941
           7   -0.483702   -0.482827 0.000382021
           8   -0.481604   -0.482674  0.00036359
           9   -0.481349   -0.482527 0.000351736
          10   -0.482513   -0.482525 0.000316566
          11   -0.483287   -0.482595 0.000295265
          12   -0.482989   -0.482628 0.000272483
          13   -0.483102   -0.482664 0.000253953
          14   -0.481629    -0.48259 0.000246339
          15   -0.483735   -0.482666 0.000241442
          16   -0.481295   -0.482581 0.000241096
          17   -0.483091   -0.482611 0.000228775
          18   -0.482884   -0.482626 0.000216567
          19   -0.483785   -0.482687 0.000213595
          20   -0.483876   -0.482746 0.000211033
