#   N_BLOCK:  ACCEPTANCE:
           1   0.0148236
           2     0.01508
           3   0.0155992
           4   0.0148582
           5   0.0146605
           6   0.0145279
           7   0.0141349
           8    0.013955
           9   0.0137493
          10   0.0137769
          11   0.0138497
          12   0.0138964
          13   0.0139154
          14   0.0138254
          15   0.0136486
          16   0.0138511
          17   0.0138378
          18   0.0137268
          19   0.0137483
          20   0.0137581
