#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.425491    0.425491           0
           2    0.391518    0.408505   0.0120113
           3    0.360084    0.392365   0.0154204
           4    0.313035    0.372532   0.0207063
           5    0.444138    0.386853   0.0209398
           6    0.387039    0.386884   0.0174499
           7    0.500321     0.40309   0.0211851
           8    0.368318    0.398743   0.0189776
           9    0.451722     0.40463   0.0177585
          10    0.296783    0.393845   0.0189769
          11    0.369772    0.391656   0.0173775
          12    0.432595    0.395068   0.0162608
          13    0.400332    0.395473    0.015015
          14    0.428766    0.397851   0.0141295
          15    0.275585      0.3897   0.0153598
          16    0.440537    0.392877   0.0147247
          17    0.378357    0.392023   0.0138833
          18    0.442797    0.394844   0.0133955
          19    0.404237    0.395338   0.0126996
          20    0.307241    0.390933   0.0128058
