#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        89.3532        89.3532              0
              2        88.9881        89.1707       0.129091
              3        87.5084        88.6166       0.460517
              4        91.1624        89.2531       0.650455
              5        90.1198        89.4264       0.542974
              6        90.3982        89.5884       0.476023
              7         92.106         89.948       0.526647
              8        91.1497        90.0982       0.481762
              9        92.1726        90.3287       0.480214
             10        89.7632        90.2722        0.43551
             11         89.061        90.1621         0.4096
             12        89.7207        90.1253       0.377115
             13        89.3406        90.0649       0.352903
             14        91.3058        90.1536       0.338644
             15        92.9874        90.3425       0.364979
             16        87.1849        90.1451       0.391908
             17        90.4026        90.1603       0.369147
             18        92.0837        90.2671       0.363775
             19        89.6078        90.2324        0.34628
             20        90.0282        90.2222       0.329116
