#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00292    -1.00292           0
           2    -1.00067    -1.00179 0.000797498
           3     -0.9997     -1.0011 0.000779358
           4    -1.00518    -1.00212  0.00106012
           5    -1.00357    -1.00241 0.000886792
           6     -1.0038    -1.00264 0.000768939
           7    -1.00606    -1.00313 0.000799248
           8    -1.00536    -1.00341 0.000746583
           9    -1.00588    -1.00368 0.000712309
          10    -1.00341    -1.00366 0.000641582
          11    -1.00172    -1.00348 0.000606964
          12    -1.00336    -1.00347 0.000556469
          13    -1.00279    -1.00342 0.000516076
          14    -1.00526    -1.00355 0.000495766
          15    -1.00702    -1.00378 0.000513817
          16   -0.999825    -1.00353 0.000537882
          17    -1.00276    -1.00349 0.000508167
          18    -1.00608    -1.00363 0.000499879
          19    -1.00271    -1.00358 0.000475891
          20    -1.00347    -1.00358 0.000452133
