# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00126806 0.000230628
    0.253333  0.00917616 0.000992384
    0.506667   0.0249981  0.00130782
        0.76     0.04355  0.00251313
     1.01333   0.0620565  0.00231647
     1.26667   0.0828806  0.00252869
        1.52   0.0907472  0.00243777
     1.77333    0.101794  0.00399769
     2.02667    0.104975  0.00282868
        2.28    0.101564  0.00374033
     2.53333   0.0919854  0.00186388
     2.78667   0.0724218  0.00205968
        3.04   0.0616509  0.00252835
     3.29333   0.0443632   0.0016527
     3.54667   0.0344884  0.00189601
         3.8   0.0237465  0.00140967
     4.05333   0.0164266  0.00114479
     4.30667   0.0108838 0.000769949
        4.56  0.00697477 0.000727377
     4.81333  0.00547824 0.000716095
     5.06667  0.00322384 0.000571087
        5.32  0.00165671 0.000396924
     5.57333  0.00130162 0.000450735
     5.82667 0.000739815 0.000298863
        6.08 0.000296528 0.000210614
     6.33333 0.000433333 0.000204484
     6.58667 0.000712731 0.000350141
        6.84 0.000200926 0.000134914
     7.09333 5.32407e-06 5.18927e-06
     7.34667           0           0
