#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.00748     3.00748           0
           2     3.23415     3.12082   0.0801378
           3     3.10565     3.11576   0.0535844
           4     2.95616     3.07586   0.0530009
           5      2.8006     3.02081   0.0649806
           6      2.6603     2.96072   0.0770763
           7      2.5213     2.89795   0.0879908
           8     2.44691     2.84157   0.0933228
           9     2.41871     2.79458   0.0940401
          10     2.49748     2.76487    0.089206
          11     2.56574     2.74677    0.082913
          12     2.58954     2.73367   0.0770318
          13     2.58033     2.72187   0.0720037
          14     2.52404     2.70774    0.068233
          15     2.43481     2.68955   0.0660658
          16     2.33455     2.66736   0.0655566
          17     2.31966     2.64691   0.0648123
          18     2.25397     2.62508   0.0647838
          19     2.21991     2.60375   0.0647887
          20     2.21477      2.5843   0.0644023
          21     2.25116     2.56844   0.0632592
          22     2.27351     2.55503   0.0617879
          23     2.23127     2.54096   0.0606838
          24     2.19842     2.52669   0.0598101
          25     2.16734     2.51231   0.0591197
          26     2.16937     2.49912   0.0582986
          27     2.16679     2.48681   0.0574241
          28     2.18565     2.47606   0.0563715
          29     2.19118     2.46623   0.0552769
          30     2.19631     2.45724   0.0541617
          31     2.17535     2.44814   0.0531724
          32     2.11677     2.43779   0.0525095
          33     2.09855     2.42751   0.0519148
          34     2.08552     2.41745    0.051353
          35     2.07711     2.40773   0.0507981
          36     2.08985      2.3989   0.0501486
          37     2.11413      2.3912   0.0493803
          38     2.12018     2.38407   0.0485931
          39     2.12474     2.37742   0.0477999
          40     2.14918     2.37171   0.0469442
          41     2.13322      2.3659   0.0461582
          42     2.13967     2.36051   0.0453724
          43     2.16687     2.35601   0.0445401
          44     2.13044     2.35088   0.0438219
          45     2.09014     2.34509   0.0432294
          46     2.07404     2.33919   0.0426893
          47     2.07943     2.33367   0.0421373
          48     2.07916     2.32836   0.0415917
          49     2.07578     2.32321   0.0410611
          50     2.09264      2.3186    0.040498
