#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59033     1.59033           0
           2     1.58982     1.59008 0.000180177
           3     1.59226     1.59081 0.000605498
           4     1.59293     1.59134 0.000645983
           5     1.59475     1.59202 0.000799903
           6     1.59512     1.59254 0.000816832
           7     1.59526     1.59293  0.00078737
           8     1.59564     1.59327 0.000758741
           9     1.59446      1.5934 0.000686048
          10     1.59445      1.5935 0.000625454
          11     1.59474     1.59362 0.000578671
          12     1.59598     1.59381 0.000563097
          13     1.59559     1.59395 0.000536157
          14     1.59701     1.59417 0.000540557
          15     1.59689     1.59435 0.000534102
          16     1.59645     1.59448 0.000516644
          17     1.59669     1.59461 0.000502382
          18     1.59658     1.59472 0.000486169
          19     1.59674     1.59483 0.000472018
          20     1.59611     1.59489 0.000452749
          21     1.59551     1.59492 0.000432142
          22     1.59675       1.595 0.000420437
          23     1.59709     1.59509 0.000411833
          24     1.59657     1.59516 0.000399257
          25     1.59666     1.59522 0.000387765
          26     1.59628     1.59526 0.000374988
          27     1.59651      1.5953 0.000363964
          28     1.59651     1.59535  0.00035352
          29     1.59616     1.59537 0.000342427
          30     1.59693     1.59543 0.000334909
          31     1.59671     1.59547 0.000326662
          32     1.59713     1.59552 0.000320545
          33     1.59607     1.59554 0.000311261
          34     1.59648     1.59556 0.000303339
          35     1.59637     1.59559 0.000295546
          36     1.59647     1.59561  0.00028835
          37     1.59655     1.59564 0.000281678
          38     1.59588     1.59564 0.000274335
          39     1.59657     1.59567 0.000268329
          40     1.59607     1.59568 0.000261809
          41     1.59647      1.5957 0.000256145
          42     1.59636     1.59571 0.000250526
          43     1.59616     1.59572 0.000244918
          44     1.59725     1.59576 0.000241809
          45     1.59689     1.59578 0.000237741
          46     1.59633     1.59579 0.000232868
          47     1.59643     1.59581 0.000228307
          48     1.59678     1.59583 0.000224445
          49     1.59572     1.59583 0.000219875
          50     1.59704     1.59585 0.000216809
