#    BLOCK:   VELOCITY:    ACTUAL_POFV:
           1           0 0.000648148
           1    0.266667  0.00148148
           1    0.533333  0.00194444
           1         0.8  0.00490741
           1     1.06667   0.0118519
           1     1.33333   0.0161111
           1         1.6   0.0201852
           1     1.86667    0.050463
           1     2.13333    0.297685
           1         2.4    0.446389
           1     2.66667    0.125926
           1     2.93333   0.0223148
           1         3.2 9.25926e-05
           1     3.46667           0
           1     3.73333           0
           1           4           0
           1     4.26667           0
           1     4.53333           0
           1         4.8           0
           1     5.06667           0
           1     5.33333           0
           1         5.6           0
           1     5.86667           0
           1     6.13333           0
           1         6.4           0
           1     6.66667           0
           1     6.93333           0
           1         7.2           0
           1     7.46667           0
           1     7.73333           0

           2           0           0
           2    0.266667  0.00111111
           2    0.533333  0.00194444
           2         0.8  0.00703704
           2     1.06667       0.015
           2     1.33333    0.022963
           2         1.6   0.0519444
           2     1.86667    0.118981
           2     2.13333    0.205926
           2         2.4    0.246481
           2     2.66667    0.132778
           2     2.93333   0.0976852
           2         3.2   0.0755556
           2     3.46667   0.0151852
           2     3.73333  0.00351852
           2           4  0.00148148
           2     4.26667  0.00240741
           2     4.53333           0
           2         4.8           0
           2     5.06667           0
           2     5.33333           0
           2         5.6           0
           2     5.86667           0
           2     6.13333           0
           2         6.4           0
           2     6.66667           0
           2     6.93333           0
           2         7.2           0
           2     7.46667           0
           2     7.73333           0

           3           0  0.00444444
           3    0.266667  0.00435185
           3    0.533333   0.0131481
           3         0.8    0.014537
           3     1.06667   0.0313889
           3     1.33333   0.0664815
           3         1.6   0.0850926
           3     1.86667    0.121852
           3     2.13333    0.128333
           3         2.4    0.157315
           3     2.66667    0.114074
           3     2.93333   0.0978704
           3         3.2   0.0840741
           3     3.46667   0.0544444
           3     3.73333  0.00916667
           3           4  0.00518519
           3     4.26667   0.0037037
           3     4.53333  0.00157407
           3         4.8   0.0012037
           3     5.06667  0.00175926
           3     5.33333           0
           3         5.6           0
           3     5.86667           0
           3     6.13333           0
           3         6.4           0
           3     6.66667           0
           3     6.93333           0
           3         7.2           0
           3     7.46667           0
