#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.93656     2.93656           0
           2     2.45923      2.6979    0.168763
           3     2.34592     2.58057    0.147768
           4     2.18406     2.48144    0.140185
           5     2.04789     2.39473    0.136353
           6     2.04773      2.3369    0.125293
           7     1.99914     2.28865    0.116315
           8     1.97439     2.24937    0.108206
           9     2.00636     2.22237   0.0994946
          10     1.92325     2.19245   0.0939337
          11     1.90763     2.16656   0.0888915
          12     1.98244     2.15122   0.0827974
          13     1.96175     2.13664   0.0777005
          14     1.98223     2.12561   0.0729291
          15     2.01368     2.11815   0.0684478
          16     1.97424     2.10916   0.0647581
          17     1.97112     2.10104   0.0614557
          18     1.96454     2.09345   0.0585076
          19     1.93105     2.08491   0.0560491
          20     1.93779     2.07755   0.0537272
          21     1.95261      2.0716   0.0514971
          22     1.97908      2.0674   0.0493278
          23     1.98538     2.06383   0.0473118
          24     1.96735     2.05981   0.0455109
          25     1.98943     2.05699   0.0437775
          26     1.95006     2.05288   0.0422865
          27     2.01903     2.05163   0.0407389
          28     2.00332      2.0499   0.0393205
          29      1.9837     2.04762   0.0380308
          30     1.99688     2.04593   0.0368007
          31     1.93485     2.04235   0.0357876
          32     1.99304      2.0408   0.0347024
          33     2.00499     2.03972   0.0336678
          34     2.01621     2.03903   0.0326846
          35     1.98853     2.03759   0.0317826
          36     2.02261     2.03717   0.0309025
          37     2.04071     2.03726   0.0300674
          38     2.02673     2.03699   0.0292775
          39      1.9683     2.03523   0.0285797
          40     1.96073     2.03336   0.0279258
          41      1.9792     2.03204   0.0272759
          42     1.95192     2.03014   0.0266931
          43      1.9251     2.02769   0.0261839
          44      1.9355      2.0256   0.0256725
          45     1.92719     2.02341    0.025195
          46     1.97539     2.02237   0.0246689
          47     1.94619     2.02075   0.0241972
          48     2.01844      2.0207   0.0236931
          49     1.96624     2.01959   0.0232356
          50     1.98803     2.01896   0.0227795
