# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00262148 0.000286123
    0.266667   0.0212667  0.00108806
    0.533333   0.0521643  0.00208231
         0.8   0.0849333  0.00247768
     1.06667    0.114606  0.00251129
     1.33333    0.124758  0.00230416
         1.6    0.132019  0.00222693
     1.86667    0.124532  0.00257639
     2.13333    0.105072   0.0025023
         2.4    0.081568   0.0025684
     2.66667   0.0635824  0.00190035
     2.93333    0.042202  0.00193227
         3.2   0.0244137  0.00138778
     3.46667   0.0138026  0.00106989
     3.73333  0.00722796 0.000742291
           4  0.00323352 0.000467874
     4.26667  0.00123019 0.000263637
     4.53333  0.00043963 0.000184289
         4.8 0.000214815 0.000110883
     5.06667 9.81481e-05 6.74623e-05
     5.33333 1.37037e-05  1.3566e-05
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
