#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.34313    -1.34313           0
           2   -0.863442    -1.10329    0.169595
           3   -0.750532   -0.985701    0.148326
           4   -0.588035   -0.886284     0.14067
           5   -0.451342   -0.799296    0.136814
           6   -0.451054   -0.741255    0.125721
           7   -0.402501   -0.692862    0.116704
           8    -0.37792   -0.653494    0.108553
           9    -0.40976   -0.626413   0.0998126
          10   -0.326489    -0.59642   0.0942298
          11   -0.310996   -0.570473   0.0891644
          12   -0.385799   -0.555083   0.0830515
          13   -0.364995   -0.540461   0.0779395
          14   -0.385578   -0.529398   0.0731534
          15   -0.417068   -0.521909   0.0686587
          16   -0.377609    -0.51289   0.0649572
          17   -0.374548   -0.504753   0.0616438
          18   -0.367661   -0.497136   0.0586878
          19   -0.334369    -0.48857   0.0562207
          20   -0.341179     -0.4812   0.0538905
          21   -0.355995   -0.475238   0.0516531
          22   -0.382621   -0.471028   0.0494765
          23   -0.388679   -0.467448   0.0474547
          24   -0.370761   -0.463419   0.0456481
          25   -0.392899   -0.460598   0.0439092
          26    -0.35346   -0.456478   0.0424133
          27   -0.422442   -0.455217   0.0408612
          28   -0.406819   -0.453489   0.0394384
          29   -0.387117     -0.4512   0.0381448
          30    -0.40032   -0.449504    0.036911
          31    -0.33817   -0.445912   0.0358946
          32   -0.396491   -0.444368   0.0348061
          33   -0.408307   -0.443275   0.0337685
          34   -0.419442   -0.442574   0.0327826
          35    -0.39181   -0.441124    0.031878
          36   -0.426055   -0.440705   0.0309953
          37   -0.444314   -0.440803   0.0301577
          38   -0.430136   -0.440522   0.0293654
          39   -0.371643   -0.438756   0.0286655
          40   -0.364067   -0.436889   0.0280096
          41   -0.382475   -0.435562   0.0273579
          42   -0.355286    -0.43365   0.0267732
          43    -0.32837   -0.431202   0.0262623
          44   -0.338886   -0.429104   0.0257491
          45   -0.330541   -0.426914   0.0252699
          46    -0.37874   -0.425866   0.0247422
          47   -0.349615   -0.424244   0.0242689
          48   -0.421828   -0.424194   0.0237634
          49   -0.369524   -0.423078   0.0233046
          50   -0.391337   -0.422443   0.0228471
