#    BLOCK:   VELOCITY:    ACTUAL_POFV:
           1           0   0.0117593
           1    0.266667   0.0149074
           1    0.533333   0.0552778
           1         0.8   0.0897222
           1     1.06667   0.0912037
           1     1.33333   0.0934259
           1         1.6    0.127315
           1     1.86667    0.154815
           1     2.13333    0.125278
           1         2.4   0.0657407
           1     2.66667    0.072037
           1     2.93333   0.0512037
           1         3.2   0.0374074
           1     3.46667  0.00990741
           1     3.73333           0
           1           4           0
           1     4.26667           0
           1     4.53333           0
           1         4.8           0
           1     5.06667           0
           1     5.33333           0
           1         5.6           0
           1     5.86667           0
           1     6.13333           0
           1         6.4           0
           1     6.66667           0
           1     6.93333           0
           1         7.2           0
           1     7.46667           0
           1     7.73333           0

           2           0  0.00925926
           2    0.266667  0.00398148
           2    0.533333   0.0546296
           2         0.8   0.0977778
           2     1.06667   0.0965741
           2     1.33333    0.124444
           2         1.6    0.132407
           2     1.86667      0.1125
           2     2.13333    0.111019
           2         2.4   0.0890741
           2     2.66667   0.0547222
           2     2.93333   0.0787037
           2         3.2   0.0163889
           2     3.46667   0.0159259
           2     3.73333  0.00259259
           2           4           0
           2     4.26667           0
           2     4.53333           0
           2         4.8           0
           2     5.06667           0
           2     5.33333           0
           2         5.6           0
           2     5.86667           0
           2     6.13333           0
           2         6.4           0
           2     6.66667           0
           2     6.93333           0
           2         7.2           0
           2     7.46667           0
           2     7.73333           0

           3           0  0.00990741
           3    0.266667   0.0140741
           3    0.533333   0.0494444
           3         0.8   0.0835185
           3     1.06667    0.123148
           3     1.33333    0.138056
           3         1.6    0.125185
           3     1.86667   0.0942593
           3     2.13333   0.0752778
           3         2.4    0.102593
           3     2.66667      0.0825
           3     2.93333   0.0701852
           3         3.2       0.015
           3     3.46667   0.0105556
           3     3.73333   0.0062963
           3           4           0
           3     4.26667           0
           3     4.53333           0
           3         4.8           0
           3     5.06667           0
           3     5.33333           0
           3         5.6           0
           3     5.86667           0
           3     6.13333           0
           3         6.4           0
           3     6.66667           0
           3     6.93333           0
           3         7.2           0
           3     7.46667           0
           3     7.73333           0

           4           0  0.00361111
           4    0.266667   0.0233333
           4    0.533333   0.0387037
           4         0.8   0.0766667
           4     1.06667    0.103611
           4     1.33333    0.174444
           4         1.6    0.114815
           4     1.86667    0.109074
           4     2.13333    0.112593
           4         2.4   0.0837963
           4     2.66667   0.0664815
           4     2.93333   0.0540741
           4         3.2  0.00805556
           4     3.46667   0.0214815
           4     3.73333  0.00925926
           4           4           0
           4     4.26667           0
           4     4.53333           0
           4         4.8           0
           4     5.06667           0
           4     5.33333           0
           4         5.6           0
           4     5.86667           0
           4     6.13333           0
           4         6.4           0
           4     6.66667           0
           4     6.93333           0
           4         7.2           0
           4     7.46667           0
           4     7.73333           0

           5           0  0.00546296
           5    0.266667   0.0138889
           5    0.533333        0.05
           5         0.8    0.106111
           5     1.06667   0.0766667
           5     1.33333    0.155556
           5         1.6    0.139907
           5     1.86667   0.0886111
           5     2.13333    0.127593
           5         2.4   0.0869444
           5     2.66667   0.0381481
           5     2.93333   0.0740741
           5         3.2  0.00925926
           5     3.46667   0.0108333
           5     3.73333   0.0169444
           5           4           0
           5     4.26667           0
           5     4.53333           0
           5         4.8           0
           5     5.06667           0
           5     5.33333           0
           5         5.6           0
           5     5.86667           0
           5     6.13333           0
           5         6.4           0
           5     6.66667           0
           5     6.93333           0
           5         7.2           0
           5     7.46667           0
           5     7.73333           0

           6           0           0
           6    0.266667  0.00925926
           6    0.533333   0.0626852
           6         0.8    0.109537
           6     1.06667   0.0738889
           6     1.33333    0.139074
           6         1.6    0.134352
           6     1.86667   0.0901852
           6     2.13333    0.151852
           6         2.4   0.0726852
           6     2.66667   0.0307407
           6     2.93333   0.0857407
           6         3.2   0.0122222
           6     3.46667   0.0178704
           6     3.73333  0.00990741
           6           4           0
           6     4.26667           0
           6     4.53333           0
           6         4.8           0
           6     5.06667           0
           6     5.33333           0
           6         5.6           0
           6     5.86667           0
           6     6.13333           0
           6         6.4           0
           6     6.66667           0
           6     6.93333           0
           6         7.2           0
           6     7.46667           0
           6     7.73333           0

           7           0  0.00037037
           7    0.266667        0.01
           7    0.533333   0.0546296
           7         0.8    0.111852
           7     1.06667   0.0826852
           7     1.33333    0.139352
           7         1.6     0.10713
           7     1.86667    0.134444
           7     2.13333    0.126667
           7         2.4   0.0896296
           7     2.66667   0.0258333
           7     2.93333   0.0718519
           7         3.2    0.022963
           7     3.46667   0.0133333
           7     3.73333  0.00925926
           7           4           0
           7     4.26667           0
           7     4.53333           0
           7         4.8           0
           7     5.06667           0
           7     5.33333           0
           7         5.6           0
           7     5.86667           0
           7     6.13333           0
           7         6.4           0
           7     6.66667           0
           7     6.93333           0
           7         7.2           0
           7     7.46667           0
           7     7.73333           0

           8           0           0
           8    0.266667   0.0208333
           8    0.533333    0.037963
           8         0.8   0.0767593
           8     1.06667      0.1375
           8     1.33333    0.125278
           8         1.6    0.104815
           8     1.86667     0.11787
           8     2.13333    0.156667
           8         2.4      0.0725
           8     2.66667   0.0389815
           8     2.93333   0.0677778
           8         3.2   0.0209259
           8     3.46667   0.0124074
           8     3.73333  0.00972222
           8           4           0
           8     4.26667           0
           8     4.53333           0
           8         4.8           0
           8     5.06667           0
           8     5.33333           0
           8         5.6           0
           8     5.86667           0
           8     6.13333           0
           8         6.4           0
           8     6.66667           0
           8     6.93333           0
           8         7.2           0
           8     7.46667           0
           8     7.73333           0

           9           0           0
           9    0.266667   0.0257407
           9    0.533333   0.0476852
           9         0.8   0.0744444
           9     1.06667    0.112037
           9     1.33333    0.108704
           9         1.6    0.126667
           9     1.86667    0.121667
           9     2.13333    0.141296
           9         2.4       0.085
           9     2.66667   0.0442593
           9     2.93333   0.0668519
           9         3.2   0.0178704
           9     3.46667   0.0244444
           9     3.73333  0.00333333
           9           4           0
           9     4.26667           0
           9     4.53333           0
           9         4.8           0
           9     5.06667           0
           9     5.33333           0
           9         5.6           0
           9     5.86667           0
           9     6.13333           0
           9         6.4           0
           9     6.66667           0
           9     6.93333           0
           9         7.2           0
           9     7.46667           0
           9     7.73333           0

          10           0           0
          10    0.266667   0.0277778
          10    0.533333   0.0702778
          10         0.8   0.0551852
          10     1.06667   0.0764815
          10     1.33333    0.115741
          10         1.6     0.13713
          10     1.86667    0.125556
          10     2.13333     0.14787
          10         2.4   0.0955556
          10     2.66667   0.0232407
          10     2.93333   0.0756481
          10         3.2   0.0308333
          10     3.46667   0.0122222
          10     3.73333  0.00648148
          10           4           0
          10     4.26667           0
          10     4.53333           0
          10         4.8           0
          10     5.06667           0
          10     5.33333           0
