#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.9953      1.9953           0
           2      1.9758     1.98555  0.00689459
           3     1.96972     1.98027  0.00629952
           4     1.95916       1.975  0.00657357
           5     1.96065     1.97213  0.00585136
           6     1.93259     1.96554  0.00774312
           7     1.92029     1.95907  0.00893688
           8     1.93411     1.95595  0.00834679
           9     1.94649      1.9549  0.00748531
          10     1.92737     1.95215  0.00722538
          11     1.92176     1.94939  0.00707692
          12     1.91877     1.94684  0.00693187
          13      1.9095     1.94396  0.00696831
          14     1.89483     1.94045  0.00730119
          15     1.92814     1.93963  0.00686042
          16     1.92955       1.939   0.0064605
          17     1.94593     1.93941   0.0060933
          18     1.94282      1.9396  0.00575773
          19     1.93619     1.93942  0.00545749
          20     1.92239     1.93857  0.00525064
          21     1.92933     1.93813  0.00501902
          22     1.94761     1.93856  0.00480936
          23     1.95999     1.93949  0.00468968
          24     1.97028     1.94077  0.00466642
          25     1.96897      1.9419  0.00461407
          26     1.93547     1.94165  0.00444324
          27     1.91801     1.94078   0.0043641
          28     1.90745     1.93959  0.00436757
          29     1.89919      1.9382  0.00443359
          30     1.89945      1.9369  0.00446995
          31     1.88831     1.93534  0.00459236
          32     1.89623     1.93411  0.00460861
          33     1.90948     1.93337  0.00452899
          34     1.92384     1.93309  0.00440445
          35     1.91022     1.93243  0.00432679
          36     1.91049     1.93182  0.00424932
          37     1.88958     1.93068  0.00428511
          38     1.88447     1.92947  0.00434149
          39     1.89832     1.92867  0.00430302
          40     1.89305     1.92778   0.0042866
          41     1.90916     1.92732  0.00420604
          42      1.9219     1.92719  0.00410787
          43     1.92263     1.92709  0.00401371
          44       1.889     1.92622  0.00401477
          45     1.85093     1.92455  0.00425994
          46     1.85272     1.92299  0.00444429
          47     1.88003     1.92207  0.00444273
          48     1.90799     1.92178  0.00435985
          49     1.91287      1.9216  0.00427467
          50     1.88302     1.92083  0.00425825
