#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.51507     2.51507           0
           2     2.51572     2.51539 0.000226855
           3     2.51559     2.51546 0.000160304
           4     2.51505     2.51536 0.000150026
           5     2.51558      2.5154 0.000126557
           6     2.51555     2.51543 0.000107759
           7     2.51522      2.5154 9.63624e-05
           8     2.51499     2.51535 9.65095e-05
           9     2.51523     2.51533 8.66985e-05
          10     2.51568     2.51537 8.47253e-05
          11     2.51557     2.51539 7.89673e-05
          12     2.51567     2.51541 7.59177e-05
          13     2.51499     2.51538 7.67323e-05
          14     2.51587     2.51541 7.88007e-05
          15     2.51477     2.51537 8.44473e-05
          16     2.51509     2.51535 8.09499e-05
          17     2.51533     2.51535 7.62009e-05
          18     2.51491     2.51533 7.58087e-05
          19     2.51495     2.51531  7.4376e-05
          20     2.51631     2.51536 8.60375e-05
          21     2.51454     2.51532  9.0228e-05
          22     2.51436     2.51527 9.60934e-05
          23     2.51463     2.51525  9.5928e-05
          24     2.51489     2.51523 9.30464e-05
          25     2.51564     2.51525 9.07765e-05
          26     2.51655      2.5153 0.000100177
          27     2.51526      2.5153 9.64766e-05
          28     2.51487     2.51528 9.42265e-05
          29     2.51533     2.51528 9.09931e-05
          30     2.51527     2.51528 8.79605e-05
          31     2.51526     2.51528 8.51269e-05
          32     2.51489     2.51527 8.33268e-05
          33     2.51501     2.51526 8.11582e-05
          34     2.51477     2.51525 8.00658e-05
          35     2.51523     2.51525 7.77789e-05
          36     2.51525     2.51525 7.56186e-05
          37     2.51535     2.51525 7.36228e-05
          38     2.51493     2.51524 7.21564e-05
          39     2.51492     2.51523 7.07673e-05
          40     2.51544     2.51524 6.91922e-05
          41     2.51463     2.51522  6.9052e-05
          42     2.51508     2.51522 6.74964e-05
          43     2.51572     2.51523 6.69048e-05
          44     2.51523     2.51523 6.53843e-05
          45      2.5154     2.51523 6.40412e-05
          46     2.51514     2.51523 6.26791e-05
          47     2.51457     2.51522 6.29209e-05
          48     2.51479     2.51521 6.22425e-05
          49     2.51555     2.51522 6.13683e-05
          50     2.51602     2.51523 6.22295e-05
