#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.236351    0.236351           0
           2    0.232344    0.234348  0.00141654
           3    0.229907    0.232868  0.00153373
           4    0.225504    0.231027  0.00196586
           5     0.22557    0.229935  0.00185102
           6    0.229274    0.229825  0.00154579
           7    0.229599    0.229793  0.00132531
           8    0.234437    0.230373  0.00128049
           9    0.233624    0.230734  0.00118806
          10    0.230406    0.230702   0.0010697
          11    0.229531    0.230595  0.00097774
          12     0.23281     0.23078 0.000913518
          13    0.230803    0.230782 0.000843249
          14    0.228222    0.230599 0.000802592
          15    0.231626    0.230667    0.000752
          16    0.231668     0.23073 0.000707596
          17    0.229703    0.230669 0.000668548
          18    0.230961    0.230686 0.000631602
          19    0.232911    0.230803 0.000609121
          20    0.228569    0.230691 0.000588816
