#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3493      1.3493           0
           2     1.34464     1.34697  0.00164544
           3     1.34706       1.347   0.0010972
           4     1.33406     1.34376  0.00291981
           5      1.3275     1.34051  0.00373168
           6     1.34233     1.34081  0.00312203
           7     1.34214       1.341  0.00268178
           8     1.34055     1.34095  0.00234715
           9     1.37422     1.34464  0.00406225
          10     1.34552     1.34473  0.00365697
          11     1.37213     1.34722  0.00408571
          12     1.37717     1.34972  0.00444258
          13     1.31798     1.34728  0.00472445
          14     1.34745     1.34729    0.004387
          15     1.33955     1.34677  0.00412475
          16     1.36405     1.34785  0.00400582
          17     1.35895     1.34851    0.003823
          18     1.38662     1.35062  0.00415573
          19     1.32972     1.34952  0.00408004
          20     1.34769     1.34943  0.00387707
