#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583859   -0.583859           0
           2   -0.581101    -0.58248 0.000975242
           3    -0.58414   -0.583033 0.000791663
           4   -0.583112   -0.583053 0.000593992
           5   -0.583864   -0.583215 0.000496857
           6   -0.582217   -0.583049  0.00044102
           7   -0.584146   -0.583206 0.000404895
           8   -0.582703   -0.583143 0.000359123
           9   -0.581997   -0.583015 0.000341045
          10   -0.581658    -0.58288 0.000332876
          11   -0.583677   -0.582952 0.000310409
          12   -0.584572   -0.583087 0.000312505
          13   -0.582741   -0.583061 0.000289595
          14   -0.578941   -0.582766 0.000390807
          15   -0.580589   -0.582621 0.000390769
          16   -0.584423   -0.582734 0.000382227
          17   -0.582179   -0.582701 0.000361131
          18    -0.58354   -0.582748 0.000344061
          19   -0.582031    -0.58271 0.000328016
          20   -0.579476   -0.582548  0.00034921
