# BLOCK:        DISTANCE:        ACTUAL_GOFR:
           1           0           0
           1   0.0256496           0
           1   0.0512993           0
           1   0.0769489           0
           1    0.102599           0
           1    0.128248           0
           1    0.153898           0
           1    0.179547           0
           1    0.205197           0
           1    0.230847           0
           1    0.256496           0
           1    0.282146           0
           1    0.307796           0
           1    0.333445           0
           1    0.359095           0
           1    0.384745           0
           1    0.410394           0
           1    0.436044           0
           1    0.461694           0
           1    0.487343           0
           1    0.512993           0
           1    0.538642           0
           1    0.564292           0
           1    0.589942           0
           1    0.615591           0
           1    0.641241           0
           1    0.666891           0
           1     0.69254           0
           1     0.71819           0
           1     0.74384           0
           1    0.769489           0
           1    0.795139           0
           1    0.820788           0
           1    0.846438           0
           1    0.872088  0.00122274
           1    0.897737   0.0238183
           1    0.923387     0.15526
           1    0.949037    0.517467
           1    0.974686     1.11148
           1     1.00034     1.78991
           1     1.02599     2.24941
           1     1.05164     2.44125
           1     1.07728     2.52131
           1     1.10293     2.40307
           1     1.12858     2.24512
           1     1.15423     2.04804
           1     1.17988     1.83217
           1     1.20553     1.64232
           1     1.23118     1.46214
           1     1.25683      1.3231
           1     1.28248     1.19596
           1     1.30813     1.08817
           1     1.33378    0.981171
           1     1.35943    0.902948
           1     1.38508    0.843413
           1     1.41073    0.775789
           1     1.43638    0.725148
           1     1.46203    0.705868
           1     1.48768     0.67886
           1     1.51333    0.657261
           1     1.53898    0.653358
           1     1.56463    0.647099
           1     1.59028    0.659812
           1     1.61593    0.660445
           1     1.64158    0.695488
           1     1.66723    0.702317
           1     1.69288    0.735946
           1     1.71853    0.755629
           1     1.74418    0.790375
           1     1.76983    0.812766
           1     1.79547    0.867802
           1     1.82112    0.896438
           1     1.84677    0.957683
           1     1.87242    0.981475
           1     1.89807     1.03476
           1     1.92372     1.10529
           1     1.94937     1.12965
           1     1.97502     1.17735
           1     2.00067      1.2034
           1     2.02632     1.23049
           1     2.05197     1.23203
           1     2.07762     1.24501
           1     2.10327     1.23222
           1     2.12892     1.20158
           1     2.15457     1.18829
           1     2.18022     1.17171
           1     2.20587     1.13967
           1     2.23152     1.09671
           1     2.25717     1.06231
           1     2.28282      1.0357
           1     2.30847      1.0105
           1     2.33412    0.988162
           1     2.35977     0.97648
           1     2.38542    0.952333
           1     2.41107     0.95938
           1     2.43672    0.929779
           1     2.46237    0.914848
           1     2.48802    0.889691
           1     2.51366    0.891332
           1     2.53931    0.891203

