#          STEP:   TEMPERATURES:             MU:          SIGMA:         ENERGY:          ERROR:
               1               3        0.724071          1.4393         2.19234        0.101846
               2             2.7        0.391426         1.74551         3.83422        0.119975
               3            2.43        0.706487        0.829232       -0.293074      0.00965038
               4           2.187         1.37624        0.783933         2.16503       0.0439104
               5          1.9683        0.608373         1.06284      -0.0285134        0.022064
               6         1.77147        0.327659         0.89553        -0.24507      0.00709963
               7         1.59432        0.847326        0.818693        -0.19149       0.0126049
               8         1.43489       0.0236608        0.640245        0.225202      0.00845303
               9          1.2914         1.14523        0.299904          1.5032       0.0226045
              10         1.16226        0.599633         0.40408        0.140079      0.00908619
              11         1.04604        0.104918        0.885022       -0.202948      0.00484798
              12        0.941432        0.450674        0.512095     -0.00116766      0.00613122
              13        0.847289        0.175808         1.29547        0.196826       0.0258705
              14         0.76256        0.751672        0.411032        0.169033       0.0106234
              15        0.686304        0.616296         1.03498      -0.0841157       0.0202919
              16        0.617673        0.325615        0.883088       -0.241033      0.00588382
              17        0.555906        0.296068        0.865816       -0.230455      0.00681254
              18        0.500315        0.273159         1.01081       -0.252784      0.00761121
              19        0.450284       0.0114124         1.42892        0.761346       0.0541818
              20        0.405256        0.328622         1.20293       0.0178171       0.0231055
              21         0.36473        0.235033        0.516396        0.430812      0.00948451
              22        0.328257        0.913272        0.689179       -0.343972      0.00780338
              23        0.295431       0.0963102         1.17735       -0.100002       0.0205396
              24        0.265888        0.654126        0.566848       -0.346184      0.00317476
              25        0.239299        0.713931        0.516141       -0.329419      0.00452153
              26        0.215369        0.608426        0.799074       -0.310694      0.00521196
              27        0.193832        0.662005        0.452361       -0.120733      0.00858327
              28        0.174449        0.511954        0.863341       -0.291492      0.00613539
              29        0.157004        0.758152        0.830661        -0.24921       0.0132246
              30        0.141304         0.84095        0.770224       -0.304053      0.00823385
              31        0.127173        0.771171        0.602215       -0.435955      0.00216026
              32        0.114456        0.645372        0.689917       -0.363355      0.00416528
              33        0.103011        0.795254        0.599622       -0.442507      0.00271636
              34       0.0927095        0.732735        0.658684       -0.419331      0.00284059
              35       0.0834385        0.498018        0.613713       -0.186664      0.00453812
              36       0.0750947         0.79942        0.684572       -0.408152      0.00421519
              37       0.0675852        0.640872        0.604925        -0.35612      0.00298447
              38       0.0608267        0.552724        0.730405       -0.291726      0.00424336
              39        0.054744        0.588333         0.70658       -0.316943      0.00374678
              40       0.0492696         0.80534        0.694279       -0.406609      0.00464749
              41       0.0443426        0.812012        0.686291       -0.415659      0.00442742
              42       0.0399084          0.7498        0.704796       -0.391988      0.00454943
              43       0.0359175        0.829895        0.649322       -0.431847      0.00383549
              44       0.0323258        0.725512        0.620152       -0.425841      0.00280201
              45       0.0290932        0.735751        0.725472       -0.382212      0.00591427
              46       0.0261839        0.753422        0.635209       -0.435613      0.00240003
              47       0.0235655        0.851825        0.551962       -0.393962       0.0034121
              48        0.021209        0.819606        0.628473       -0.441723      0.00292784
              49       0.0190881        0.780731        0.622891       -0.441261      0.00296889
              50       0.0171793        0.710242        0.676166       -0.401501      0.00264742
              51       0.0154613        0.777546         0.67998       -0.414293      0.00437146
              52       0.0139152        0.811437        0.616193        -0.44321      0.00245165
              53       0.0125237        0.822239        0.620683       -0.438928       0.0030312
              54       0.0112713        0.765058        0.591975       -0.437452      0.00255639
              55       0.0101442        0.744488        0.593635       -0.429431      0.00256943
              56      0.00912976        0.850158        0.603047       -0.433643      0.00277966
              57      0.00821678        0.899333        0.618794       -0.410522      0.00346156
              58       0.0073951        0.821466        0.581697       -0.432336      0.00245906
              59      0.00665559        0.810293        0.585771       -0.437322      0.00227029
              60      0.00599003        0.780696        0.665508       -0.429943       0.0035525
              61      0.00539103        0.822222        0.610136       -0.440807      0.00255769
              62      0.00485193        0.803451        0.626362       -0.441543      0.00273489
              63      0.00436674        0.833542        0.600864       -0.439527      0.00259976
              64      0.00393006        0.821092        0.614426        -0.44317      0.00302642
              65      0.00353706        0.758265        0.617839       -0.440242      0.00221724
              66      0.00318335        0.768582        0.626196       -0.440948      0.00262634
              67      0.00286501        0.796267        0.587891       -0.442397      0.00268963
              68      0.00257851         0.80497        0.594376       -0.440708        0.002268
              69      0.00232066        0.838762        0.606328       -0.434938      0.00268651
              70       0.0020886         0.84356        0.624218       -0.440143      0.00297049
              71      0.00187974        0.836492        0.619238       -0.438622      0.00277513
              72      0.00169176         0.82161        0.608975       -0.444163      0.00235745
              73      0.00152259        0.820442        0.621025       -0.438937      0.00284414
              74      0.00137033        0.815566        0.612226       -0.439191      0.00276896
              75      0.00123329        0.801541        0.615096        -0.44644      0.00259618
              76      0.00110997        0.796397        0.616242       -0.448243      0.00225543
