#  BLOCK:       AVERAGES:         ERRORS:
        1      -0.449225               0
        2      -0.449227     1.62452e-06
        3      -0.450364      0.00113733
        4       -0.44965      0.00107583
        5      -0.448607      0.00133469
        6       -0.44523       0.0035487
        7      -0.441981      0.00442144
        8      -0.442956      0.00395122
        9      -0.445215      0.00415267
        10      -0.446523      0.00393802
        11      -0.446969      0.00358991
        12      -0.444359      0.00418979
        13      -0.445216      0.00394808
        14      -0.445619      0.00367744
        15      -0.445625      0.00342352
        16      -0.446124      0.00324099
        17      -0.446444      0.00306111
        18      -0.447875      0.00322137
        19      -0.448078      0.00305389
        20      -0.448283      0.00290439
        21      -0.447603      0.00284485
        22      -0.448263       0.0027914
        23       -0.44814      0.00267009
        24      -0.448556      0.00258997
        25      -0.448692      0.00248796
        26      -0.448846       0.0023953
        27        -0.4487       0.0023095
        28      -0.448604      0.00222755
        29      -0.448264      0.00217622
        30      -0.448255      0.00210245
        31      -0.448402      0.00203879
        32       -0.44818       0.0019865
        33      -0.448005      0.00193324
        34      -0.447954      0.00187623
        35      -0.448092      0.00182711
        36      -0.447954      0.00178102
        37      -0.447882       0.0017337
        38      -0.447649      0.00170352
        39      -0.447469        0.001669
        40      -0.447093      0.00166948
        41      -0.446698      0.00167561
        42      -0.446916      0.00164968
        43      -0.446874      0.00161141
        44       -0.44667      0.00158752
        45       -0.44644      0.00156878
        46      -0.446488      0.00153505
        47      -0.446584      0.00150515
        48      -0.446619      0.00147386
        49      -0.446849       0.0014618
        50      -0.446657      0.00144519
        51       -0.44677      0.00142113
        52      -0.446823      0.00139455
        53      -0.446601      0.00138589
        54      -0.446761      0.00136935
        55      -0.447015      0.00136795
        56      -0.446767      0.00136595
        57      -0.446964      0.00135606
        58        -0.4468      0.00134248
        59      -0.446963       0.0013296
        60      -0.446932      0.00130762
        61      -0.446977      0.00128679
        62      -0.446648      0.00130796
        63      -0.446886       0.0013088
        64      -0.446705      0.00130077
        65      -0.446391       0.0013186
        66      -0.446378      0.00129854
        67      -0.446507      0.00128554
        68      -0.446467      0.00126714
        69      -0.446358      0.00125336
        70      -0.446005      0.00128474
        71      -0.445862      0.00127466
        72      -0.445562      0.00129201
        73      -0.445396      0.00128502
        74      -0.445453      0.00126882
        75      -0.445598      0.00126022
        76      -0.445699      0.00124761
        77      -0.446014      0.00127088
        78       -0.44593      0.00125728
        79      -0.446063       0.0012484
        80      -0.446012      0.00123375
        81      -0.445778      0.00124069
        82      -0.445873      0.00122914
        83      -0.445989      0.00121972
        84      -0.445959      0.00120547
        85      -0.445891      0.00119317
        86      -0.445964      0.00118146
        87      -0.446044      0.00117057
        88      -0.445942      0.00116174
        89      -0.445978      0.00114919
        90      -0.445953      0.00113662
        91       -0.44608      0.00113123
        92      -0.446174      0.00112283
        93      -0.446284      0.00111609
        94      -0.446077      0.00112342
        95      -0.446167      0.00111516
        96      -0.446055      0.00110908
        97      -0.446204      0.00110759
        98      -0.446169      0.00109679
        99      -0.446216       0.0010867
        100      -0.446106      0.00108144
