#  BLOCK:       AVERAGES:         ERRORS:
        1      -0.468823               0
        2      -0.460544      0.00827955
        3       -0.45522      0.00715485
        4      -0.450438      0.00696179
        5      -0.440539       0.0112726
        6      -0.441703       0.0092774
        7      -0.444857      0.00845111
        8      -0.443552      0.00743426
        9      -0.443654      0.00655719
        10      -0.444761      0.00596853
        11      -0.449551      0.00721704
        12      -0.447208      0.00699256
        13      -0.447963      0.00647648
        14      -0.447074      0.00606163
        15      -0.444841      0.00606901
        16      -0.442351      0.00619911
        17      -0.439547      0.00646279
        18      -0.438498      0.00618291
        19       -0.43818      0.00585708
        20      -0.435698      0.00608541
        21       -0.43281      0.00646898
        22      -0.432312      0.00618799
        23      -0.431457      0.00597438
        24      -0.432903      0.00590007
        25      -0.432843      0.00565946
        26      -0.432722      0.00543879
        27      -0.433396      0.00527663
        28      -0.433357      0.00508483
        29      -0.434407      0.00501743
        30      -0.435293       0.0049277
        31      -0.436764      0.00498774
        32      -0.437513       0.0048872
        33      -0.436583      0.00482731
        34      -0.437025      0.00470399
        35      -0.436997       0.0045677
        36      -0.436842       0.0044417
        37       -0.43629       0.0043551
        38       -0.43732      0.00436229
        39      -0.436602      0.00430924
        40      -0.437251      0.00424993
        41      -0.437763      0.00417647
        42      -0.437439      0.00408868
        43      -0.437735      0.00400343
        44      -0.437434      0.00392297
        45      -0.437379      0.00383519
        46      -0.437259       0.0037528
        47      -0.438414      0.00384934
        48      -0.438112      0.00378037
        49      -0.438032      0.00370329
        50      -0.438241      0.00363451
        51      -0.438411       0.0035666
        52      -0.438225      0.00350229
        53      -0.438383      0.00343919
        54       -0.43689      0.00369027
        55      -0.437236      0.00363901
        56      -0.438125      0.00368233
        57      -0.438672      0.00365832
        58      -0.438591       0.0035956
        59      -0.438622      0.00353427
        60      -0.438354       0.0034852
        61      -0.437842      0.00346571
        62      -0.437409      0.00343667
        63      -0.437544      0.00338435
        64       -0.43706      0.00336602
        65      -0.437964      0.00343489
        66      -0.437341      0.00343924
        67       -0.43744      0.00338896
        68       -0.43755      0.00334056
        69      -0.437305      0.00330086
        70      -0.437649      0.00327146
        71      -0.437544      0.00322675
        72      -0.437957      0.00320829
        73      -0.437385      0.00321532
        74      -0.437607      0.00317931
        75      -0.437045      0.00318657
        76      -0.436832      0.00315156
        77      -0.436809      0.00311045
        78       -0.43703      0.00307824
        79      -0.437474      0.00307123
        80      -0.437214      0.00304369
        81      -0.437622       0.0030335
        82      -0.436272      0.00328646
        83      -0.436205      0.00324732
        84      -0.436059      0.00321174
        85      -0.436008      0.00317413
        86      -0.435704      0.00315171
        87      -0.435394      0.00313066
        88      -0.435294      0.00309652
        89      -0.435224      0.00306231
        90      -0.435527      0.00304318
        91        -0.4354      0.00301225
        92       -0.43474      0.00305158
        93      -0.434373      0.00304074
        94      -0.434441      0.00300898
        95      -0.434332      0.00297913
        96      -0.434508      0.00295322
        97      -0.434708      0.00292939
        98      -0.434643      0.00290007
        99      -0.434817      0.00287591
        100      -0.435007      0.00285331
