#      BINS:     COUNTS:     ERRORS:
    -3.26136           0           0
    -3.19614           0           0
    -3.13091           0           0
    -3.06568           0           0
    -3.00046           0           0
    -2.93523           0           0
       -2.87           0           0
    -2.80477  6.1324e-05  6.1324e-05
    -2.73955  3.0662e-05  3.0662e-05
    -2.67432           0           0
    -2.60909  3.0662e-05  3.0662e-05
    -2.54386           0           0
    -2.47864 0.000183972 8.51784e-05
    -2.41341 0.000521254 0.000213747
    -2.34818 0.000735888 0.000200283
    -2.28296  0.00134913 0.000312206
    -2.21773  0.00272892 0.000452688
     -2.1525  0.00349547 0.000498846
    -2.08727  0.00551916 0.000686316
    -2.02205  0.00797212  0.00093471
    -1.95682   0.0130314 0.000964093
    -1.89159   0.0221073  0.00140767
    -1.82636   0.0281477  0.00146913
    -1.76114   0.0352613  0.00157043
    -1.69591   0.0563568  0.00234561
    -1.63068   0.0736501  0.00229784
    -1.56546   0.0919554  0.00285797
    -1.50023    0.113357  0.00262011
      -1.435    0.148895  0.00325295
    -1.36977    0.181243  0.00338894
    -1.30455    0.207582  0.00388642
    -1.23932    0.248454  0.00416911
    -1.17409    0.283869  0.00494913
    -1.10886    0.321553  0.00496665
    -1.04364     0.34832  0.00469747
   -0.978409    0.378247  0.00496758
   -0.913182    0.390879  0.00555338
   -0.847955    0.413079  0.00565968
   -0.782728    0.420529  0.00526779
     -0.7175     0.41826  0.00500103
   -0.652273    0.405566  0.00452905
   -0.587046     0.38815  0.00470112
   -0.521818    0.378277  0.00442035
   -0.456591    0.360033  0.00465159
   -0.391364    0.349455  0.00395256
   -0.326136    0.330751  0.00427598
   -0.260909    0.316555  0.00337046
   -0.195682     0.30524  0.00315064
   -0.130455    0.301285  0.00314739
  -0.0652273    0.292178  0.00323626
           0     0.29365  0.00341044
   0.0652273    0.291412  0.00348755
    0.130455    0.302143  0.00374225
    0.195682    0.319284  0.00381942
    0.260909    0.328084  0.00375633
    0.326136    0.342617  0.00394273
    0.391364    0.359267  0.00400924
    0.456591    0.387813  0.00488701
    0.521818    0.406118  0.00505172
    0.587046    0.409614  0.00534381
    0.652273    0.399373  0.00487005
      0.7175    0.415194   0.0048947
    0.782728    0.418322  0.00558234
    0.847955    0.399741  0.00519578
    0.913182    0.382171  0.00513176
    0.978409    0.356385   0.0054551
     1.04364    0.329893  0.00530242
     1.10886    0.287518  0.00476289
     1.17409    0.251582  0.00386114
     1.23932    0.219264  0.00398701
     1.30455    0.180538  0.00337614
     1.36977    0.149447  0.00295826
       1.435     0.11624  0.00306994
     1.50023   0.0956655  0.00256352
     1.56546   0.0704306  0.00248506
     1.63068   0.0519414  0.00245212
     1.69591   0.0386341  0.00172131
     1.76114   0.0264307  0.00142543
     1.82636   0.0191638   0.0012953
     1.89159   0.0121115    0.001108
     1.95682  0.00941324  0.00081911
     2.02205  0.00696028 0.000905664
     2.08727   0.0042007 0.000606474
      2.1525  0.00190104 0.000366651
     2.21773  0.00171707 0.000393004
     2.28296  0.00104251 0.000293065
     2.34818 0.000367944 0.000158817
     2.41341 0.000367944  0.00019626
     2.47864  3.0662e-05  3.0662e-05
     2.54386  3.0662e-05  3.0662e-05
     2.60909           0           0
     2.67432  3.0662e-05  3.0662e-05
     2.73955           0           0
     2.80477           0           0
        2.87           0           0
     2.93523           0           0
     3.00046           0           0
     3.06568           0           0
     3.13091           0           0
     3.19614           0           0
