#         CITY       COORD_X       COORD_Y
             1     -0.999343     0.0362465
             2      0.519974      0.854182
             3      0.967149      -0.25421
             4      0.973231     -0.229828
             5     -0.473714      0.880679
             6     -0.937637      0.347616
             7    -0.0610811     -0.998133
             8      0.141914     -0.989879
             9      0.747415     -0.664358
            10     -0.999553     0.0299118
            11      0.238932     -0.971036
            12     -0.875597      0.483043
            13     -0.951609      0.307311
            14     -0.676486     -0.736456
            15      0.907478       -0.4201
            16       0.21641     -0.976303
            17     -0.385987      0.922504
            18     -0.320634      0.947203
            19      0.901995     -0.431746
            20      0.955444      0.295171
            21      0.499666     -0.866218
            22     0.0234468     -0.999725
            23     -0.461745     -0.887012
            24     -0.410992     -0.911639
            25       0.99923     0.0392429
            26     -0.713312     -0.700846
            27      0.997225     0.0744495
            28     -0.487538      0.873102
            29     -0.997466     0.0711418
            30      0.998729      0.050396
            31      0.770011      0.638031
            32     -0.203736      0.979026
            33    -0.0902818      0.995916
            34     -0.396211      -0.91816
