#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
             1       34.2002       39.6707        1.7132
             2       33.1939       37.9105       1.84628
             3       32.8903       36.8113       1.65257
             4       29.8522       35.0201       1.59483
             5       28.4539       33.8667       1.65872
             6       27.8427         32.02       1.88018
             7       27.6497        30.546       1.72012
             8       27.6497       29.9458       1.65854
             9       25.9805       29.2533       1.54841
            10       25.8695       28.9726       1.56947
            11       25.4989       28.1098       1.46095
            12       24.7986       27.8416       1.47237
            13       24.5151        27.089       1.39678
            14       21.9147       26.4972       1.54158
            15       21.9147       24.9348       1.64192
            16       21.5657       24.1001       1.81237
            17       21.5657        24.004       1.87196
            18       21.5657       24.4966       1.96324
            19       21.5657       23.8122       1.55319
            20       21.5044       23.7234        1.4475
            21       21.2649       23.5899       1.63566
            22       21.0642       23.2196        1.4314
            23       21.0642       23.0453       1.46733
            24       20.8543       23.0188       1.47765
            25       20.8512       22.9291       1.37932
            26       20.1237        22.915       1.60827
            27       20.1237       23.4616       1.72404
            28       19.7715       22.2992       1.39448
            29       19.7715       21.5751       1.35229
            30       19.7106       20.7753       1.14593
            31       19.0643        20.687      0.958664
            32       19.0643        20.617       1.10784
            33       19.0275       20.5555       1.07868
            34       18.5828       20.1879       1.10406
            35       18.2593        20.199       1.17421
            36       18.2593       20.4017       1.51627
            37       17.9013       20.2807        1.4067
            38       17.9013       20.4529       1.74785
            39       17.7624        19.733       1.44672
            40       17.7624       19.3997       1.51192
            41       17.7624        18.902       1.12574
            42       17.7624       18.5764      0.837115
            43       17.7624       18.6521      0.884155
            44       17.5549       19.0318       1.20271
            45        16.488       18.8528       1.31344
            46        16.488       18.7813       1.30494
            47        16.488       18.9552       1.30118
            48        16.488       18.5092       1.48496
            49        16.488       18.1262       1.46415
            50       15.9784        17.556       1.14206
            51       15.9784       17.6507       1.23361
            52       15.7687       17.6435       1.19552
            53       15.4858        17.191       1.09639
            54       15.4548       17.2455       1.13528
            55       15.4548       17.2466       1.46598
            56       15.3385       17.4906       1.51541
            57       15.3385       17.0395       1.34547
            58       15.2153       17.0421       1.49481
            59       15.1741       16.6471       1.33952
            60       15.1741       16.0781       1.06636
            61       15.0194       16.1755        1.0253
            62       15.0194       16.2036       1.13118
            63        14.682       16.5786       1.35768
            64        14.682       16.8209        1.4324
            65        14.682       16.3539       1.48061
            66        14.682       15.7647       1.26819
            67        14.682        15.766       1.32465
            68        14.682       15.7981       1.32753
            69        14.682       15.2931      0.772133
            70        14.682       15.7526       1.03285
            71       14.6818       15.7571       1.12319
            72       14.4739       15.8017       1.05548
            73       14.4739       15.9474       1.26557
            74       14.4739       15.7597       1.16727
            75       14.1223       15.3472      0.933668
            76       13.8975       15.7516       1.30568
            77       13.8975       15.8962       1.52417
            78       13.8538       15.8259       1.60856
            79       13.8538       15.8105       1.67947
            80       13.3546       15.9081       1.72602
            81       13.3109       15.0584       1.52628
            82       13.3109       14.5813        1.4237
            83       13.3109       14.5635       1.25861
            84       13.2236       14.1755       1.05327
            85       13.2236       14.7316       1.37523
            86       13.1003       14.4436       1.22373
            87       13.0567       13.7713      0.810576
            88       13.0214       14.0073       1.20691
            89       13.0214       14.2843       1.33795
            90       13.0214       14.0588       1.15329
            91       12.9739       14.1796       1.21028
            92       12.9739        13.889       1.07917
            93       12.9739       14.5878       1.35091
            94       12.9739       14.6813       1.32819
            95       12.9739       14.7489       1.30249
            96       12.9739       14.6586       1.39005
            97       12.9739       14.5192       1.30971
            98       12.9739       14.8563       1.44784
            99       12.9739       14.8914       1.69125
           100       12.5951       14.1257       1.25561
           101       12.5942       13.5946      0.982394
           102       12.4511       13.9091       1.21357
           103       12.4511       14.3835       1.47594
           104       12.4501       14.7116       1.71562
           105       11.2436       14.1044       1.54312
           106       11.2436       13.1833       1.35998
           107       11.2436       13.1063       1.40195
           108       11.2436       13.5152       1.55302
           109       11.2436       12.7091       1.45321
           110       11.2436       12.8025        1.7262
           111       11.2436        13.308       1.81415
           112       10.4258       13.3477       1.83888
           113       10.4258       13.2145       1.53446
           114       10.1982        13.301       1.44444
           115       9.12866       13.2708       1.49026
           116       9.12866       12.5475       1.89627
           117       9.12769       12.1136       1.89617
           118       9.12769       11.5313       1.85813
           119       9.12769       10.9711       1.63191
           120       9.12769         11.39       2.00703
           121       8.89073       11.4024       1.79985
