#         CITY       COORD_X       COORD_Y
             1    -0.0115401     -0.674058
             2      0.918185      0.926184
             3     -0.342913     -0.113009
             4      0.480545      0.545326
             5      0.768705   -0.00952264
             6      0.576797     -0.160468
             7    -0.0994291      0.263502
             8      0.861995      0.569435
             9     -0.373861     -0.396104
            10      0.857898     -0.904623
            11      0.666544      0.507464
            12      0.347223      0.365182
            13     -0.987505      0.247194
            14      -0.97628     -0.337895
            15    -0.0226643     -0.983952
            16     -0.779749     -0.434692
            17     -0.471223      0.370325
            18     -0.198111      0.355654
            19     -0.490214     -0.267053
            20     -0.299888     -0.288235
            21     -0.802432     -0.410655
            22     -0.941998     -0.167023
            23     0.0751214     -0.975759
            24      0.347879      0.882027
            25     -0.973153      0.534528
            26      0.717514     -0.416168
            27     0.0547111      0.177935
            28      0.636869      -0.39239
            29      0.993863     0.0833142
            30      0.884818     -0.404418
            31     -0.152015      0.597334
            32     -0.922719      0.917686
            33     -0.160673      0.753355
            34     -0.849658      0.900835
