#   GENERATION   BEST_LENGTH     BEST_HALF       STD_DEV
             1       31.3741       34.7366       1.40936
             2       31.1814       33.6462       1.24894
             3        30.165       32.5648       1.02993
             4       29.4901       31.8465       1.02723
             5       27.5708       31.1448       1.32947
             6       27.3033       29.9355       1.41849
             7       26.6178       28.7687       1.15178
             8       25.1874       28.3386       1.17469
             9       24.7153       27.5527        1.4429
            10       24.4172       27.1949       1.46162
            11       23.9935       26.3595       1.29978
            12       23.9935       26.0511       1.17208
            13        23.308        25.275       1.11023
            14        23.308       24.7255      0.907971
            15       23.2511       24.0102      0.467544
            16        22.423       24.1104      0.832623
            17       21.4646       24.5674       1.18482
            18       21.4646       24.3512       1.09533
            19       20.2818       23.8952       1.23382
            20       20.2818        23.375       1.48853
            21       19.4761       23.2857       1.60011
            22       19.4761       22.1031       1.60067
            23       19.4761       21.7938       1.28004
            24       19.4761       21.3603       1.34586
            25       19.1157        20.434      0.921252
            26       19.1157       20.6429      0.853021
            27       19.1157       20.9795       1.13731
            28       18.4925       20.4806        1.1509
            29       18.4925       19.9077       1.02659
            30       18.3207       19.7165       1.02863
            31       18.2139         19.88       1.04582
            32       18.1523       19.4105         1.067
            33        17.989       19.1415      0.873317
            34       17.3076       18.8947      0.859252
            35         16.42       19.0905       1.10644
            36         16.42       19.0298         1.116
            37         16.42       18.5646       1.21599
            38       16.1671         18.44       1.22276
            39       16.1671       18.2262       1.34795
            40       16.1671       18.0267       1.29382
            41       15.8872       17.2223       1.08955
            42       15.8872       16.6672      0.673315
            43       15.8872       16.5603      0.657828
            44       15.8872       16.7605      0.850524
            45       15.8872       16.6491        0.8299
            46       14.9313        16.923        0.8786
            47       14.9313       17.0193      0.980436
            48       14.9313       16.6909       1.01916
            49       14.9114       16.3202       1.03726
            50       14.9057       16.1651       1.08999
            51       14.9057       16.1845       1.02787
            52       14.9057       16.2902       1.08949
            53       14.7505       16.2321       1.20489
            54       14.7505       15.9462       1.13558
            55       14.5325       16.1517       1.32891
            56       14.5268       16.3639       1.29759
            57       14.3717       16.2434       1.53102
            58       14.3246       15.6231       1.14719
            59       14.3246       15.3157        1.0805
            60       14.3246        15.106      0.962272
            61       14.3177        14.903      0.660816
            62       14.3177       15.4248       1.04165
            63       14.3177       15.5181      0.963937
            64       14.3177       15.7127      0.994849
            65       14.3177       15.4695      0.975881
            66       14.3177       15.0274      0.789535
            67       14.3177        15.562        1.0325
            68       14.3177       15.5953       1.06526
            69       14.3177       15.4436      0.928389
            70       14.3177        15.491      0.945206
            71        14.305       15.3597      0.876118
            72       14.1568       15.0219      0.808136
            73       13.8107       14.7495      0.704093
            74       13.8107       14.7106      0.757456
            75       13.7979       14.9321      0.877686
            76       13.7979       14.7133      0.730831
            77       13.7979       15.0018      0.902917
            78       13.7979       15.2766       1.22927
            79       13.7979       15.2119       1.20603
            80       13.7979        15.273       1.15371
            81       13.7979       14.9327       1.14627
            82       13.7979       15.2938       1.26166
            83       13.4822       15.6482       1.50691
            84       13.4822       15.3623       1.26344
            85       13.4822       15.1986       1.31047
            86       13.4822       15.0675       1.10851
            87       13.4822       14.4804      0.824658
            88       13.4822       14.6432       1.05607
            89       13.4822       14.7426       1.08847
            90       13.4822       14.5094      0.845982
            91       13.4822       15.1324       1.11141
            92       13.4822       14.8417      0.920954
            93       13.4822       15.1863       1.22923
            94       13.4822       14.6482      0.979817
            95       13.4822       14.2282      0.655335
            96       13.4822        14.306      0.791213
            97       13.3758       14.5789       1.01399
            98       13.3758       14.4601      0.967003
            99       13.3758       14.9221       1.15799
           100       13.3086       14.5718       1.06934
           101       13.3086        14.001      0.735027
           102       13.3086       14.1834      0.881357
           103       13.3086       14.5265       1.04675
           104       13.2857       14.7176       1.42915
           105       13.2857       14.3625       1.15941
           106       13.1603       13.7848      0.724145
           107       13.1603       14.1039      0.865723
           108       13.1603        14.585       1.26186
           109       13.1603       14.0444        1.0093
           110       13.1603       13.8682      0.869101
           111       13.1603       14.1915      0.950668
           112       13.1603        14.342       1.22446
           113       13.1603       14.3738      0.999397
           114       13.1603       14.3754       1.14164
           115       13.1603       14.4836       1.24717
           116       13.0367       14.2325       1.18237
           117       13.0367        14.386      0.994958
           118       13.0367       14.2509       1.04265
           119       12.9117       14.2685        1.0707
           120       12.9049       14.5068       1.30738
           121       12.9049        14.373      0.981294
           122       12.9049       14.6256       0.97238
           123       12.9049       14.3071       1.09635
           124       12.9049       14.4628       1.16168
           125       12.9049       13.8254       1.00648
           126       12.9049       13.9353       1.01989
           127       12.9049        13.774      0.944584
           128       12.4106        13.791       1.01846
           129       12.4106       13.3538      0.820541
           130       12.4106       13.1738       0.73861
           131       12.4106       13.2299       0.85654
           132       12.4106       13.1324      0.687714
           133       12.4106       13.3412       0.92792
           134       12.4106       13.2868       1.05716
           135       12.4015       13.2442       1.05664
           136       12.4011       13.5747       1.14328
           137       12.3185       13.3809       1.04909
           138       12.2936       13.3657       1.04482
           139       12.2454       13.5576       1.23415
           140       12.2454       13.9965         1.328
           141       12.2454       13.6787       1.25068
           142       12.2358       13.2374      0.943703
           143       12.2358       14.0433       1.11157
           144       12.2358       14.0094       1.27944
           145       12.2263       13.3122       1.05198
           146       12.2263       12.9404      0.832533
           147       12.2263       12.8252      0.809332
           148       12.2263       12.8001      0.744796
           149       12.2263       12.8613      0.817045
           150       12.2263       13.0483      0.839372
           151       12.2263       13.4727       1.04071
           152       12.2263       13.4269       1.04459
           153       12.2263       13.6096       1.08191
           154       12.2263       13.1814      0.988253
           155       12.2263       13.0605      0.938379
           156       12.2263        12.877      0.703048
           157       12.2263       13.2664       1.01114
           158       12.2263       13.1693       1.08286
           159       12.2263       12.8157      0.854955
           160       12.2263       12.7301      0.701566
           161       12.0676       12.8307      0.826892
           162       12.0676       13.1408       1.02731
           163       12.0676       13.1787       1.15308
           164       12.0676       13.3198       1.05841
           165       12.0676       13.2185       1.00766
           166       12.0676       12.6989      0.796253
           167       12.0676       13.1846      0.978931
           168       12.0676        13.138       1.04155
           169       12.0676       12.8084      0.888553
           170       12.0676       12.7828      0.930139
           171       12.0676       12.4063      0.599798
           172       12.0676       12.6602      0.750263
           173       12.0676       12.8638      0.971952
           174       12.0676       13.4006       1.18761
           175       12.0676       13.1464       1.04418
           176       11.6688       12.9501       1.01117
           177       11.6688       12.9923       0.92148
           178       11.6107       12.6731      0.775007
           179       11.6107       12.6262      0.910308
           180       11.6107       12.3453       0.80462
           181       11.6107       12.0945      0.609794
           182       11.6107       11.7505      0.271945
           183       11.6107       11.8844      0.486143
