#     STEP   BEST_LENGTH
         1       511.531
     10001       100.542
     20001       81.3353
     30001       75.5739
     40001       72.3344
     50001       69.7966
     60001       69.5576
     70001        69.527
     80001        69.527
     90001       69.1183
    100001       69.0291
    110001       69.0291
    120001       68.5061
    130001       68.5061
    140001       68.5061
    150001       68.1706
    160001       68.1706
    170001       68.1706
    180001       68.1706
    190001       68.1706
    200001       68.1706
    210001       68.1706
    220001       68.1706
    230001       68.1706
    240001       68.1706
    250001       68.1706
    260001       68.1706
    270001       68.1315
    280001       68.1315
    290001       68.1133
    300001       68.1133
    310001       68.0847
    320001       68.0847
    330001       67.8836
    340001       67.8836
    350001       67.8836
    360001       67.8836
    370001       67.7845
    380001       67.5446
    390001       67.5446
    400001       67.4144
    410001       67.4144
    420001       67.4144
    430001       67.4144
    440001       67.4144
    450001       67.4144
    460001       67.2241
    470001       67.2241
    480001       67.2241
    490001       67.2241
    500001       67.2241
    510001       67.2241
    520001       67.2241
    530001       67.2241
    540001       67.2241
    550001       67.2241
    560001       67.2241
    570001       67.2241
    580001       67.2241
    590001       67.2241
    600001       67.2241
    610001       67.2241
    620001       67.2241
    630001       67.2241
    640001       67.2241
    650001       67.2241
    660001       67.2241
    670001       67.2241
    680001       67.2241
    690001       67.2241
    700001       67.2241
    710001       67.2241
    720001       67.2241
    730001       67.2241
    740001       67.2241
    750001       67.2241
    760001       67.2241
    770001       67.2241
    780001       67.2241
    790001       67.2241
    800001       67.2241
    810001       67.2241
    820001       67.2241
    830001       67.2241
    840001       67.2241
    850001       67.2241
    860001       67.2241
    870001       67.2241
    880001       67.2241
    890001       67.2241
    900001       67.2241
    910001       67.2241
    920001       67.2241
    930001       67.2241
    940001       67.2241
    950001       67.2241
    960001       67.2241
    970001       67.2241
    980001       67.2241
    990001       67.2241
   1000001       67.2241
   1010001       67.2236
   1020001       67.2236
   1030001       67.2236
   1040001       67.2236
   1050001       67.2236
   1060001       67.2236
   1070001       67.2236
   1080001       67.2236
   1090001       67.2236
   1100001       67.2236
   1110001       67.2236
   1120001       67.2236
   1130001       67.2236
   1140001       67.2236
   1150001       67.2236
   1160001       67.2236
   1170001       67.2236
   1180001       67.2236
   1190001       67.2236
   1200001       67.2236
   1210001       67.2236
   1220001       67.2236
   1230001       67.2236
   1240001       67.2236
   1250001       67.2236
   1260001       67.2236
   1270001       67.2236
   1280001       67.2236
   1290001       67.2236
   1300001       67.2236
   1310001       67.2236
   1320001       67.2236
   1330001       67.2236
   1340001       67.2236
   1350001       67.2236
   1360001       67.2236
   1370001       67.2236
   1380001       67.2236
   1390001       67.2236
   1400001       67.2236
   1410001       67.2236
   1420001       67.2236
   1430001       67.2236
   1440001       67.2236
   1450001       67.2236
   1460001       67.2236
   1470001       67.2236
   1480001       67.2236
   1490001       67.2236
   1500001       67.2236
   1510001       67.2236
   1520001       67.2236
   1530001       67.2236
   1540001       67.2236
   1550001       67.2236
   1560001       67.2236
   1570001       67.2236
   1580001       67.2236
   1590001       67.2236
   1600001       67.2236
   1610001       67.2236
   1620001       67.2236
   1630001       67.2236
   1640001       67.2236
   1650001       67.2236
   1660001       67.2236
   1670001       67.2236
   1680001       67.2236
   1690001       67.2236
   1700001       67.2236
   1710001       67.0315
   1720001       67.0315
   1730001       67.0315
   1740001       67.0315
   1750001       67.0315
   1760001       67.0315
   1770001       67.0315
   1780001       67.0315
   1790001       67.0315
   1800001       67.0315
   1810001       67.0315
   1820001       67.0315
   1830001       67.0315
   1840001       67.0315
   1850001       67.0254
   1860001       66.9995
   1870001       66.8198
   1880001       66.6141
   1890001       66.6141
   1900001       66.6141
   1910001       66.6141
   1920001       66.6141
   1930001       66.6141
   1940001       66.6141
   1950001       66.6141
   1960001       66.6141
   1970001       66.6141
   1980001       66.6141
   1990001       66.6141
   2000001       66.6141
   2010001       66.6141
   2020001       66.6141
   2030001       66.6141
   2040001       66.6141
   2050001       66.6141
   2060001       66.6141
   2070001       66.6141
   2080001       66.6141
   2090001       66.6141
   2100001       66.6141
   2110001       66.6141
   2120001       66.6141
   2130001       66.6141
   2140001       66.6141
   2150001       66.6141
   2160001       66.6141
   2170001       66.6141
   2180001       66.6141
   2190001       66.6141
   2200001       66.6141
   2210001       66.6141
   2220001       66.6141
   2230001       66.6141
   2240001       66.6141
   2250001       66.6141
   2260001       66.6141
   2270001       66.6141
   2280001       66.6141
   2290001       66.6141
   2300001       66.6141
   2310001       66.6141
   2320001       66.6141
   2330001       66.6141
   2340001       66.6141
   2350001       66.6141
   2360001       66.6141
   2370001       66.6141
   2380001       66.6141
   2390001       66.6141
   2400001       66.6141
   2410001       66.6141
   2420001       66.6141
   2430001       66.6141
   2440001       66.6141
   2450001       66.6141
   2460001       66.6141
   2470001       66.6141
   2480001       66.6141
   2490001       66.6141
   2500001       66.6141
   2510001       66.6141
   2520001       66.6141
   2530001       66.6141
   2540001       66.6141
   2550001       66.6141
   2560001       66.6141
   2570001       66.6141
   2580001       66.6141
   2590001       66.6141
   2600001       66.5347
   2610001       66.5347
   2620001       66.4795
   2630001       66.4795
   2640001       66.4795
   2650001       66.4795
   2660001       66.4795
   2670001       66.4795
   2680001       66.4795
   2690001       66.4795
   2700001       66.4795
   2710001        66.357
   2720001        66.357
   2730001       66.2942
   2740001       66.2942
   2750001       66.2942
   2760001       66.2942
   2770001       66.2942
   2780001       66.2942
   2790001       66.2942
   2800001       66.2942
   2810001       66.2942
   2820001       66.2942
   2830001       66.2942
   2840001       66.2942
   2850001       66.2942
   2860001       66.2942
   2870001       66.2942
   2880001       66.2942
   2890001       66.2942
   2900001       66.2942
   2910001       66.2942
   2920001       66.2942
   2930001       66.2942
   2940001       66.2942
   2950001       66.2942
   2960001       66.2942
   2970001       66.2942
   2980001       66.2942
   2990001       66.2942
   3000001       66.2942
   3010001       66.2942
   3020001       66.2942
   3030001       66.2942
   3040001       66.2942
   3050001       66.0009
   3060001       66.0009
   3070001       66.0009
   3080001       66.0009
   3090001       66.0009
   3100001       66.0009
   3110001       65.9897
   3120001       65.9897
   3130001       65.9897
   3140001       65.9897
   3150001       65.9897
   3160001       65.9897
   3170001       65.9897
   3180001       65.9897
   3190001       65.9897
   3200001       65.9897
   3210001       65.9897
   3220001       65.9897
   3230001       65.9897
   3240001       65.9897
   3250001       65.9897
   3260001       65.9897
   3270001       65.9897
   3280001       65.9897
   3290001       65.9897
   3300001       65.9897
   3310001       65.9897
   3320001       65.9897
   3330001       65.9897
   3340001       65.9897
   3350001       65.9897
   3360001       65.9897
   3370001       65.9897
   3380001       65.9897
   3390001       65.9897
   3400001       65.9897
   3410001       65.9897
   3420001       65.9897
   3430001       65.9897
   3440001       65.9897
   3450001       65.9897
   3460001       65.9897
   3470001       65.9897
   3480001       65.9897
   3490001       65.9805
   3500001       65.9805
   3510001       65.9805
   3520001       65.9805
   3530001       65.9805
   3540001       65.9805
   3550001       65.9805
   3560001       65.9805
   3570001       65.9805
   3580001       65.9805
   3590001       65.9805
   3600001       65.9805
   3610001       65.9805
   3620001       65.9805
   3630001       65.9805
   3640001       65.9805
   3650001       65.9805
   3660001       65.9805
   3670001       65.9805
   3680001       65.9805
   3690001       65.9805
   3700001       65.9805
   3710001       65.9805
   3720001       65.9805
   3730001       65.9805
   3740001       65.9805
   3750001       65.9805
   3760001       65.9805
   3770001       65.9805
   3780001       65.9805
   3790001       65.9805
   3800001       65.9805
   3810001       65.9805
   3820001       65.9805
   3830001       65.9805
   3840001       65.9805
   3850001       65.9805
   3860001       65.9805
   3870001       65.9805
   3880001       65.9805
   3890001       65.9805
   3900001       65.9805
   3910001       65.9805
   3920001       65.9805
   3930001       65.9805
   3940001       65.9805
   3950001       65.9805
