#     STEP   BEST_LENGTH
         1       464.523
     10001       183.234
     20001       178.037
     30001       178.037
     40001       166.621
     50001       166.621
     60001       166.621
     70001       166.621
     80001       166.621
     90001       166.621
    100001       166.621
    110001       166.621
    120001       166.621
    130001       166.621
    140001       166.621
    150001       166.621
    160001       166.621
    170001       166.621
    180001       166.621
    190001       166.621
    200001       166.621
    210001       166.621
    220001       166.621
    230001       166.621
    240001       166.621
    250001       166.621
    260001       166.621
    270001       166.621
    280001       166.621
    290001       166.621
    300001       166.621
    310001       166.621
    320001       166.621
    330001       166.621
    340001       166.621
    350001       166.621
    360001       166.621
    370001       166.621
    380001       166.621
    390001       166.621
    400001       166.621
    410001       166.621
    420001       166.621
    430001       166.621
    440001       166.621
    450001       166.621
    460001       166.621
    470001       166.621
    480001       166.621
    490001       166.621
    500001       166.621
    510001       166.621
    520001       166.621
    530001       166.621
    540001       166.621
    550001       166.621
    560001       166.621
    570001       166.621
    580001       166.621
    590001       166.621
    600001       166.621
    610001       166.621
    620001       166.621
    630001       166.621
    640001       166.621
    650001       166.621
    660001       166.621
    670001       166.621
    680001       166.621
    690001       166.621
    700001       166.621
    710001       166.621
    720001       166.621
    730001       166.621
    740001       166.621
    750001       166.621
    760001       166.621
    770001       166.621
    780001       165.612
    790001       165.612
    800001       165.612
    810001       165.612
    820001       165.612
    830001       165.612
    840001       165.612
    850001       165.612
    860001       165.612
    870001       165.612
    880001       165.612
    890001       165.612
    900001       165.612
    910001       165.612
    920001       165.612
    930001       165.612
    940001       165.612
    950001       165.612
    960001       157.099
    970001       157.099
    980001       157.099
    990001       157.099
   1000001       157.099
   1010001       157.099
   1020001       157.099
   1030001       157.099
   1040001       157.099
   1050001       157.099
   1060001       157.099
   1070001       157.099
   1080001       157.099
   1090001       157.099
   1100001       157.099
   1110001       157.099
   1120001       157.099
   1130001       157.099
   1140001       157.099
   1150001       157.099
   1160001       157.099
   1170001       157.099
   1180001       157.099
   1190001       157.099
   1200001       157.099
   1210001       157.099
   1220001       157.099
   1230001       157.099
   1240001       157.099
   1250001       157.099
   1260001       157.099
   1270001       157.099
   1280001       157.099
   1290001       157.099
   1300001       157.099
   1310001       157.099
   1320001       157.099
   1330001       157.099
   1340001       157.099
   1350001       157.099
   1360001       157.099
   1370001       157.099
   1380001       157.099
   1390001       157.099
   1400001       157.099
   1410001       157.099
   1420001       157.099
   1430001       157.099
   1440001       157.099
   1450001       157.099
   1460001       157.099
   1470001       157.099
   1480001       157.099
   1490001       157.099
   1500001       157.099
   1510001       157.099
   1520001       157.099
   1530001       157.099
   1540001       157.099
   1550001       157.099
   1560001       157.099
   1570001       157.099
   1580001       157.099
   1590001       157.099
   1600001       157.099
   1610001       157.099
   1620001       157.099
   1630001       157.099
   1640001       157.099
   1650001       157.099
   1660001       157.099
   1670001       157.099
   1680001       157.099
   1690001       157.099
   1700001       157.099
   1710001       157.099
   1720001       157.099
   1730001       157.099
   1740001       157.099
   1750001       157.099
   1760001       157.099
   1770001       157.099
   1780001       157.099
   1790001       157.099
   1800001       157.099
   1810001       157.099
   1820001       157.099
   1830001       157.099
   1840001       157.099
