#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1      0.0749761      0.0749761              0
              2        0.06152      0.0682481     0.00475747
              3       0.075634        0.07071     0.00375503
              4       0.066823      0.0697383     0.00293932
              5       0.071697        0.07013     0.00237742
              6      0.0666095      0.0695433     0.00205231
              7      0.0747842       0.070292     0.00189077
              8      0.0732129      0.0706571     0.00168931
              9      0.0683327      0.0703988     0.00152122
             10      0.0706964      0.0704286     0.00136939
             11      0.0598019      0.0694625     0.00154861
             12      0.0603921      0.0687067     0.00159339
             13      0.0640211      0.0683462     0.00151103
             14      0.0708965      0.0685284     0.00141404
             15      0.0638641      0.0682174     0.00135353
             16      0.0551096      0.0673982     0.00149646
             17      0.0799056      0.0681339     0.00157897
             18      0.0730364      0.0684063     0.00151456
             19      0.0817858      0.0691105     0.00159014
             20      0.0690542      0.0691077     0.00151064
