#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1       0.315562       0.315562              0
              2       0.312159       0.313861     0.00120343
              3       0.315633       0.314451    0.000936101
              4       0.319487        0.31571      0.0012968
              5       0.318079       0.316184     0.00112065
              6        0.31558       0.316083    0.000938388
              7        0.31722       0.316246    0.000818269
              8       0.318378       0.316512    0.000758151
              9       0.314881       0.316331    0.000695239
             10       0.316273       0.316325    0.000625739
             11       0.313995       0.316113    0.000603655
             12       0.320881       0.316511    0.000671484
             13       0.319198       0.316717    0.000650873
             14       0.321128       0.317032    0.000676352
             15       0.319015       0.317165    0.000644051
             16       0.317606       0.317192    0.000604389
             17       0.316348       0.317143    0.000570873
             18       0.315127       0.317031     0.00055003
             19       0.317868       0.317075    0.000522843
             20       0.318595       0.317151    0.000502197
