#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        1.90624        1.90624              0
              2        1.86395        1.88509      0.0149515
              3        1.89475        1.88831      0.0103085
              4         1.9172        1.89553     0.00994434
              5        1.83546        1.88352      0.0133704
              6        1.87699        1.88243      0.0111862
              7        1.89002        1.88351     0.00964063
              8         1.9075        1.88651     0.00888967
              9        1.89154        1.88707     0.00791946
             10        1.93939         1.8923     0.00868528
             11        1.90005        1.89301     0.00792422
             12        1.89479        1.89316     0.00726526
             13        1.88092        1.89221     0.00676708
             14        1.94397        1.89591     0.00722323
             15         1.9229        1.89771     0.00696214
             16        1.93213        1.89986     0.00685121
             17        1.89364         1.8995     0.00645795
             18        1.96238        1.90299     0.00698045
             19        1.88691        1.90214     0.00666419
             20        1.91806        1.90294     0.00637833
