#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682777   -0.682777           0
           2   -0.682635   -0.682706 5.01412e-05
           3   -0.681855   -0.682422 0.000233992
           4   -0.683294    -0.68264 0.000257675
           5   -0.683342    -0.68278 0.000241388
           6   -0.684439   -0.683057 0.000322752
           7   -0.682034   -0.682911 0.000307954
           8   -0.683088   -0.682933 0.000270258
           9   -0.683124   -0.682954  0.00024106
          10   -0.683079   -0.682967 0.000217277
          11   -0.681881   -0.682868 0.000218796
          12   -0.683768   -0.682943 0.000213019
          13   -0.684178   -0.683038  0.00021679
          14    -0.68087   -0.682883 0.000250597
          15   -0.683478   -0.682923 0.000237012
          16   -0.680599   -0.682778 0.000262958
          17   -0.680705   -0.682656  0.00027429
          18   -0.682068   -0.682623 0.000260989
          19   -0.681094   -0.682542  0.00025937
          20   -0.682051   -0.682518 0.000247564
