#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
              1        0.03887        0.03887              0
              2      0.0388971      0.0388835    9.56268e-06
              3      0.0441533      0.0406401     0.00143425
              4      0.0407303      0.0406627     0.00107587
              5      0.0379354      0.0401172    0.000989347
              6       0.042885      0.0405785    0.000925778
              7       0.036314      0.0399693    0.000973548
              8      0.0362945        0.03951    0.000954087
              9      0.0322945      0.0387082     0.00113603
             10      0.0434636      0.0391838     0.00111753
             11      0.0386011      0.0391308     0.00101719
             12       0.036885      0.0389437    0.000949486
             13       0.035417      0.0386724    0.000914383
             14       0.039426      0.0387262    0.000850653
             15      0.0343171      0.0384323      0.0008432
             16       0.044595      0.0388174    0.000874058
             17      0.0306822      0.0383389    0.000944603
             18      0.0424613      0.0385679     0.00091947
             19      0.0413794      0.0387159    0.000882903
             20      0.0352562      0.0385429    0.000855536
