#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
              1        0.29192        0.29192              0
              2       0.291673       0.291796    8.74193e-05
              3       0.290367        0.29132    0.000393381
              4       0.290732       0.291173    0.000321342
              5       0.299832       0.292905     0.00157025
              6       0.296525       0.293508     0.00141974
              7       0.293487       0.293505     0.00121693
              8       0.297088       0.293953     0.00114427
              9       0.297003       0.294292     0.00106613
             10       0.288665       0.293729       0.001098
             11           0.29        0.29339     0.00104922
             12       0.292191        0.29329    0.000966524
             13        0.29896       0.293726     0.00098569
             14        0.29571       0.293868    0.000925413
             15       0.295424       0.293972    0.000869509
             16       0.294316       0.293993     0.00081543
             17       0.293506       0.293965    0.000767967
             18       0.293128       0.293918    0.000726707
             19       0.290848       0.293757      0.0007062
             20       0.294285       0.293783    0.000671385
