#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
              1        2.24307        2.24307              0
              2        2.14946        2.19627      0.0330975
              3        2.16199        2.18484      0.0239563
              4        2.18912        2.18591      0.0179911
              5        2.14835         2.1784       0.015884
              6        2.20986        2.18364      0.0140758
              7        2.20081        2.18609      0.0122768
              8        2.15508        2.18222      0.0113379
              9        2.18975        2.18305       0.010109
             10        2.20256        2.18501     0.00928441
             11        2.13145        2.18014     0.00963288
             12        2.16933        2.17924      0.0088721
             13        2.17696        2.17906     0.00819136
             14        2.16021        2.17771     0.00771609
             15        2.17597         2.1776     0.00720256
             16        2.22855        2.18078     0.00742308
             17        2.18404        2.18097      0.0069889
             18        2.15151        2.17934     0.00678965
             19        2.23081        2.18205      0.0069518
             20        2.15251        2.18057     0.00675929
