#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.890862   -0.890862           0
           2   -0.892761   -0.891811 0.000671416
           3   -0.893449   -0.892357 0.000631699
           4    -0.89103   -0.892025 0.000554131
           5   -0.889969   -0.891614 0.000576115
           6   -0.895758   -0.892305 0.000792508
           7   -0.891178   -0.892144 0.000695443
           8   -0.894681   -0.892461 0.000676966
           9   -0.891544   -0.892359 0.000609361
          10   -0.892871    -0.89241 0.000550571
          11   -0.892479   -0.892417 0.000500555
          12   -0.891572   -0.892346 0.000463762
          13   -0.893214   -0.892413 0.000432865
          14   -0.892643   -0.892429 0.000402257
          15   -0.890423   -0.892296 0.000397062
          16    -0.89329   -0.892358 0.000377082
          17   -0.891496   -0.892307 0.000358295
          18   -0.892756   -0.892332 0.000339258
          19   -0.892085   -0.892319  0.00032165
          20   -0.891147    -0.89226 0.000310861
