#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.95946     3.95946           0
           2     3.99692     3.97819   0.0132447
           3     3.98872      3.9817  0.00928311
           4     4.01475     3.98996  0.00998456
           5     4.02487     3.99694   0.0101386
           6     4.00358     3.99805  0.00850896
           7     4.01606     4.00062  0.00767275
           8     4.01716     4.00269  0.00698672
           9     4.01804      4.0044  0.00641533
          10     4.00136     4.00409  0.00578097
          11     4.02281     4.00579  0.00550015
          12     4.00689     4.00589  0.00504256
          13      4.0186     4.00686  0.00474857
          14      4.0342     4.00882  0.00479393
          15     4.02577     4.00995  0.00460572
          16     4.00407     4.00958  0.00433248
          17     3.99423     4.00868   0.0041706
          18      4.0157     4.00907  0.00395709
          19     4.01829     4.00955  0.00377846
          20     4.04057      4.0111  0.00389494
