# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00213056 0.000443993
    0.333333    0.013859  0.00114753
    0.666667   0.0327882  0.00201143
           1   0.0593801  0.00276883
     1.33333   0.0876539     0.00346
     1.66667    0.107869  0.00328018
           2    0.124007  0.00362935
     2.33333    0.115756  0.00376404
     2.66667    0.114851  0.00351292
           3     0.09445  0.00359083
     3.33333   0.0816382  0.00372798
     3.66667     0.05931  0.00227472
           4   0.0397109  0.00272612
     4.33333   0.0285343  0.00197405
     4.66667   0.0172683  0.00147626
           5  0.00991551  0.00115111
     5.33333  0.00451667 0.000776907
     5.66667  0.00260741 0.000618887
           6  0.00134745 0.000308229
     6.33333  0.00139514 0.000340185
     6.66667 0.000608102 0.000276775
           7 0.000198148 0.000112704
     7.33333 0.000204861 0.000177155
     7.66667           0           0
           8           0           0
     8.33333           0           0
     8.66667           0           0
           9           0           0
     9.33333           0           0
     9.66667           0           0
