#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -0.45668    -0.45668           0
           2   -0.444309   -0.450494  0.00437363
           3   -0.433482   -0.444824  0.00547177
           4   -0.430781   -0.441313  0.00510729
           5   -0.419889   -0.437028  0.00560196
           6   -0.439678    -0.43747  0.00468567
           7   -0.429161   -0.436283  0.00416392
           8   -0.449026   -0.437876  0.00393633
           9   -0.493684   -0.444077  0.00681335
          10   -0.518006    -0.45147  0.00931619
          11   -0.540963   -0.459605   0.0114849
          12   -0.578982   -0.469553   0.0141969
          13   -0.582153   -0.478215   0.0155237
          14   -0.595121   -0.486565   0.0165087
          15   -0.553833    -0.49105   0.0160056
          16   -0.546552   -0.494519   0.0153766
          17   -0.540029   -0.497196   0.0147033
          18   -0.596244   -0.502698   0.0148805
          19   -0.659592   -0.510956   0.0162276
          20   -0.690357   -0.519926   0.0177228
          21   -0.710497   -0.529001   0.0190611
          22   -0.730268   -0.538149   0.0202716
          23   -0.737966   -0.546837   0.0211702
          24   -0.747352   -0.555192   0.0218746
          25   -0.726946   -0.562062   0.0220521
          26   -0.716074   -0.567986   0.0219852
          27   -0.753016   -0.574839   0.0222133
          28    -0.75941    -0.58143   0.0223767
          29   -0.777133   -0.588179   0.0225998
          30   -0.850136   -0.596911   0.0234728
          31    -0.86917   -0.605693   0.0243032
          32   -0.842813   -0.613103   0.0246475
          33    -0.84093   -0.620007   0.0248487
          34   -0.835052   -0.626332   0.0249098
          35   -0.823722   -0.631972   0.0248283
          36   -0.838373   -0.637705   0.0247917
          37   -0.876648   -0.644163   0.0249486
          38   -0.892811   -0.650706   0.0251355
          39   -0.893195   -0.656924   0.0252483
          40   -0.922346   -0.663559   0.0254741
          41   -0.971378   -0.671067   0.0259356
          42    -1.03631   -0.679763   0.0267363
          43    -1.11871   -0.689972   0.0279955
          44     -1.2264   -0.702163   0.0298962
          45     -1.3106   -0.715684   0.0321443
          46    -1.46823   -0.732044   0.0353644
          47    -1.63764   -0.751312   0.0395139
          48    -1.65019   -0.770038   0.0428993
          49    -1.64684   -0.787932   0.0456033
          50    -1.38235   -0.799821   0.0462148
