#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.63964     2.63964           0
           2     2.66461     2.65213  0.00882981
           3     2.65914     2.65446  0.00618874
           4      2.6765     2.65997  0.00665637
           5     2.68324     2.66463  0.00675905
           6     2.66905     2.66537  0.00567264
           7     2.67738     2.66708  0.00511517
           8     2.67811     2.66846  0.00465781
           9      2.6787      2.6696  0.00427688
          10     2.66757     2.66939  0.00385398
          11     2.68187     2.67053  0.00366677
          12     2.67126     2.67059  0.00336171
          13     2.67907     2.67124  0.00316571
          14     2.68946     2.67254  0.00319596
          15     2.68385      2.6733  0.00307048
          16     2.66938     2.67305  0.00288832
          17     2.66282     2.67245   0.0027804
          18     2.67713     2.67271  0.00263806
          19     2.67886     2.67303  0.00251897
          20     2.69372     2.67407  0.00259663
