#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     3.71712     3.71712           0
           2     3.71712     3.71712 1.26791e-06
           3     3.71717     3.71714 1.35167e-05
           4      3.7171     3.71713 1.33168e-05
           5     3.71711     3.71713 1.10327e-05
           6     3.71717     3.71713 1.16448e-05
           7     3.71716     3.71714  1.0503e-05
           8     3.71696     3.71712 2.25316e-05
           9     3.71722     3.71713 2.28472e-05
          10     3.71713     3.71713 2.05663e-05
          11     3.71714     3.71713 1.87148e-05
          12      3.7171     3.71713 1.73295e-05
          13     3.71719     3.71713 1.66461e-05
          14     3.71718     3.71713 1.57807e-05
          15     3.71713     3.71713 1.47291e-05
          16     3.71717     3.71714 1.39685e-05
          17     3.71713     3.71714 1.31521e-05
          18     3.71709     3.71713 1.26856e-05
          19      3.7171     3.71713 1.21415e-05
          20     3.71705     3.71713 1.22219e-05
