#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.05977     3.05977           0
           2     3.11702      3.0884   0.0202395
           3      3.1433      3.1067   0.0201324
           4     3.10525     3.10634   0.0151025
           5      3.1153     3.10813   0.0121879
           6     3.12649     3.11119   0.0105339
           7     3.10998     3.11102  0.00903045
           8     3.15632     3.11668  0.00951295
           9     3.16724      3.1223  0.00997784
          10     3.16855     3.12692  0.00999492
          11     3.19946     3.13352   0.0110498
          12     3.14002     3.13406   0.0101422
          13     3.16037     3.13608  0.00956193
          14     3.12906     3.13558  0.00889209
          15     3.15117     3.13662  0.00835979
          16     3.12165     3.13568  0.00788951
          17     3.13725     3.13578  0.00742596
          18     3.11929     3.13486  0.00706968
          19     3.11769     3.13396  0.00675511
          20     3.11076      3.1328  0.00651619
