#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.242649   -0.242649           0
           2   -0.299878   -0.271263   0.0202335
           3   -0.326107   -0.289545   0.0201186
           4    -0.28808   -0.289178   0.0150923
           5   -0.298099   -0.290963   0.0121788
           6   -0.309347   -0.294027   0.0105274
           7   -0.292818   -0.293854   0.0090249
           8   -0.339172   -0.299519  0.00950984
           9   -0.350201    -0.30515  0.00998227
          10   -0.351455   -0.309781   0.0100005
          11   -0.382439   -0.316386   0.0110597
          12   -0.322964   -0.316934   0.0101517
          13    -0.34327    -0.31896  0.00957076
          14   -0.311926   -0.318458  0.00890031
          15   -0.334015   -0.319495  0.00836717
          16   -0.304485   -0.318557  0.00789663
          17   -0.320101   -0.318647  0.00743265
          18   -0.302144   -0.317731  0.00707605
          19   -0.300541   -0.316826  0.00676122
          20     -0.2936   -0.315665  0.00652212
