#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.03985     2.03985           0
           2     2.07801     2.05893    0.013493
           3     2.09553     2.07113   0.0134216
           4     2.07017     2.07089   0.0100684
           5     2.07686     2.07209  0.00812524
           6     2.08433     2.07413  0.00702257
           7     2.07332     2.07401   0.0060203
           8     2.10421     2.07779  0.00634196
           9     2.11149     2.08153  0.00665189
          10     2.11237     2.08461  0.00666328
          11     2.13298     2.08901   0.0073665
          12     2.09335     2.08937  0.00676148
          13     2.10692     2.09072  0.00637462
          14     2.08604     2.09039  0.00592806
          15     2.10078     2.09108  0.00557319
          16      2.0811     2.09046  0.00525968
          17      2.0915     2.09052  0.00495064
          18     2.07953     2.08991  0.00471312
          19     2.07846      2.0893  0.00450341
          20     2.07384     2.08853  0.00434413
