#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.81713     2.81713           0
           2     2.81714     2.81713 5.97713e-06
           3     2.81719     2.81715 1.55227e-05
           4     2.81717     2.81716  1.2381e-05
           5      2.8172     2.81717  1.2063e-05
           6     2.81715     2.81716 1.05027e-05
           7     2.81716     2.81716 9.01541e-06
           8     2.81715     2.81716 8.06043e-06
           9     2.81704     2.81715 1.46175e-05
          10      2.8171     2.81714 1.39479e-05
          11     2.81702     2.81713 1.62291e-05
          12     2.81706     2.81712 1.60244e-05
          13      2.8171     2.81712 1.48684e-05
          14     2.81713     2.81712 1.38277e-05
          15     2.81716     2.81713 1.30664e-05
          16     2.81716     2.81713 1.24394e-05
          17     2.81715     2.81713 1.17744e-05
          18     2.81715     2.81713 1.11533e-05
          19     2.81715     2.81713  1.0607e-05
          20     2.81716     2.81713 1.01505e-05
