#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.41715    -1.41715           0
           2    -1.64432    -1.53074    0.080318
           3    -1.51339    -1.52496    0.053753
           4    -1.36323    -1.48453    0.053397
           5    -1.20585    -1.42879   0.0656502
           6    -1.06518    -1.36819   0.0778043
           7   -0.926039    -1.30502   0.0886974
           8   -0.851265     -1.2483   0.0940125
           9   -0.824245    -1.20119   0.0946403
          10    -0.90303    -1.17137   0.0897501
          11   -0.970993    -1.15315   0.0834191
          12    -0.99356    -1.13986   0.0775205
          13   -0.984741    -1.12792   0.0724698
          14   -0.927034    -1.11357   0.0686993
          15   -0.837917     -1.0952   0.0665319
          16   -0.738094    -1.07288   0.0660112
          17   -0.722969     -1.0523   0.0652583
          18    -0.65739    -1.03036   0.0652165
          19   -0.623177    -1.00893   0.0652101
          20   -0.618665   -0.989412   0.0648034
          21   -0.655657   -0.973519   0.0636366
          22   -0.676762    -0.96003   0.0621572
          23   -0.634184   -0.945863   0.0610479
          24   -0.601847   -0.931529   0.0601635
          25   -0.570685   -0.917095   0.0594632
          26   -0.573098   -0.903865   0.0586296
          27   -0.570275   -0.891509   0.0577452
          28   -0.589142   -0.880711   0.0566837
          29   -0.595029    -0.87086   0.0555785
          30   -0.599382    -0.86181   0.0544576
          31   -0.578636   -0.852676   0.0534615
          32   -0.519638   -0.842268   0.0527941
          33   -0.502485   -0.831972   0.0521887
          34   -0.489041   -0.821885   0.0516192
          35   -0.480744   -0.812139   0.0510563
          36   -0.493376   -0.803284      0.0504
          37   -0.517577   -0.795562   0.0496259
          38   -0.524307   -0.788424   0.0488306
          39    -0.52817   -0.781751   0.0480324
          40   -0.553113   -0.776035   0.0471704
          41   -0.536749   -0.770199   0.0463796
          42   -0.543314   -0.764797   0.0455888
          43   -0.570708   -0.760283   0.0447515
          44    -0.53319   -0.755122    0.044031
          45   -0.493247   -0.749302   0.0434354
          46   -0.477717   -0.743398   0.0428906
          47   -0.482995   -0.737858   0.0423343
          48    -0.48238   -0.732535   0.0417856
          49   -0.480057   -0.727383   0.0412493
          50   -0.495602   -0.722747    0.040684
