#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.00499     2.00499           0
           2      2.1561     2.08054   0.0534252
           3     2.07044     2.07717   0.0357229
           4     1.97077     2.05057   0.0353339
           5     1.86707     2.01387   0.0433204
           6     1.77353     1.97382   0.0513842
           7     1.68087     1.93197   0.0586605
           8     1.63127     1.89438   0.0622152
           9     1.61247     1.86306   0.0626934
          10     1.66499     1.84325   0.0594707
          11     1.71049     1.83118   0.0552753
          12     1.72636     1.82245   0.0513546
          13     1.72022     1.81458   0.0480024
          14      1.6827     1.80516   0.0454887
          15      1.6232     1.79303   0.0440438
          16     1.55637     1.77824   0.0437044
          17     1.54644      1.7646   0.0432082
          18     1.50264     1.75005   0.0431892
          19     1.47994     1.73584   0.0431925
          20     1.47652     1.72287   0.0429349
          21     1.50078     1.71229   0.0421728
          22     1.51568     1.70336   0.0411919
          23     1.48752     1.69397   0.0404558
          24     1.46561     1.68446   0.0398734
          25     1.44489     1.67487   0.0394131
          26     1.44625     1.66608   0.0388658
          27     1.44452     1.65788   0.0382827
          28      1.4571      1.6507    0.037581
          29     1.46079     1.64416   0.0368513
          30     1.46421     1.63816   0.0361078
          31     1.45023      1.6321   0.0354483
          32     1.41118     1.62519   0.0350063
          33     1.39904     1.61834   0.0346098
          34     1.39035     1.61163   0.0342354
          35     1.38474     1.60515   0.0338654
          36     1.39323     1.59926   0.0334324
          37     1.40942     1.59413   0.0329202
          38     1.41346     1.58938   0.0323954
          39     1.41649     1.58495   0.0318666
          40     1.43279     1.58114   0.0312962
          41     1.42215     1.57726   0.0307721
          42     1.42645     1.57367   0.0302483
          43     1.44458     1.57067   0.0296934
          44      1.4203     1.56725   0.0292146
          45     1.39342     1.56339   0.0288196
          46      1.3827     1.55946   0.0284596
          47     1.38628     1.55578   0.0280915
          48     1.38611     1.55224   0.0277278
          49     1.38385     1.54881   0.0273741
          50     1.39509     1.54573   0.0269987
