#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.38173    -1.38173           0
           2    -1.64678    -1.51426   0.0937091
           3    -1.64987    -1.55946   0.0725613
           4    -1.63479     -1.5783   0.0568124
           5    -1.46455    -1.55555   0.0497968
           6     -1.3077    -1.51424   0.0560713
           7    -1.22483    -1.47289   0.0614415
           8    -1.11619    -1.42831    0.068043
           9      -1.034    -1.38449    0.073242
          10   -0.970834    -1.34313    0.076715
          11   -0.922259    -1.30487   0.0787058
          12   -0.892278    -1.27048   0.0793021
          13   -0.892366     -1.2414   0.0783546
          14   -0.876449    -1.21533   0.0769721
          15   -0.838272    -1.19019   0.0758342
          16   -0.823732    -1.16729   0.0744731
          17   -0.835213    -1.14776    0.072609
          18   -0.841017    -1.13071   0.0705465
          19   -0.843678    -1.11561    0.068432
          20   -0.869159    -1.10329   0.0661105
          21   -0.847851    -1.09112   0.0640716
          22   -0.776445    -1.07682   0.0627355
          23   -0.759748    -1.06303   0.0615039
          24    -0.75188    -1.05007   0.0602922
          25   -0.715544    -1.03669   0.0593468
          26   -0.728726    -1.02484   0.0582342
          27   -0.746773    -1.01454   0.0569808
          28   -0.737875    -1.00466   0.0557959
          29   -0.730053   -0.995193   0.0546696
          30   -0.710424   -0.985701    0.053665
          31   -0.690096   -0.976165   0.0527742
          32   -0.658309   -0.966232   0.0520514
          33   -0.594475   -0.954967   0.0516788
          34   -0.540028   -0.942763   0.0515797
          35   -0.545837   -0.931422   0.0513376
          36    -0.55501   -0.920966   0.0509652
          37   -0.595188   -0.912161   0.0503426
          38    -0.58262   -0.903489   0.0497591
          39   -0.578352   -0.895152   0.0491767
          40   -0.540436   -0.886284   0.0487403
          41   -0.517232   -0.877283   0.0483755
          42   -0.491976   -0.868109   0.0480857
          43   -0.449562   -0.858375   0.0479425
          44   -0.428515   -0.848606    0.047838
          45   -0.440063   -0.839527   0.0476286
          46   -0.419411   -0.830394   0.0474607
          47   -0.431217   -0.821901   0.0472047
          48   -0.433259   -0.813804   0.0469106
          49   -0.445058   -0.806279   0.0465529
          50   -0.457124   -0.799296   0.0461426
