#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.96441     2.96441           0
           2     2.96349     2.96395 0.000325751
           3     2.97273     2.96688  0.00239828
           4      2.9551     2.96393  0.00312014
           5     2.96433     2.96401  0.00249712
           6      2.9657     2.96429  0.00209683
           7     2.96109     2.96384  0.00184639
           8     2.96382     2.96383  0.00161559
           9     2.96425     2.96388  0.00143673
          10     2.96292     2.96378  0.00129626
          11     2.96351     2.96376  0.00117867
          12      2.9643      2.9638  0.00108132
          13     2.96364     2.96379 0.000998213
          14     2.96313     2.96374 0.000928041
          15     2.96344     2.96372 0.000866393
          16      2.9645     2.96377 0.000813602
          17     2.96391     2.96378 0.000765786
          18     2.96359     2.96377 0.000723318
          19     2.96397     2.96378 0.000685323
          20     2.96332     2.96376 0.000651439
          21     2.96311     2.96373 0.000621147
          22     2.96454     2.96376 0.000594012
          23     2.96424     2.96378  0.00056855
          24      2.9634     2.96377  0.00054509
          25     2.96403     2.96378 0.000523386
          26     2.96381     2.96378 0.000503257
          27     2.96374     2.96378  0.00048462
          28     2.96387     2.96378 0.000467323
          29     2.96361     2.96378 0.000451247
          30      2.9634     2.96376 0.000436379
          31      2.9641     2.96377  0.00042244
          32      2.9642     2.96379 0.000409452
          33       2.964     2.96379 0.000397095
          34     2.96412      2.9638 0.000385529
          35     2.96294     2.96378 0.000375309
          36     2.96392     2.96378 0.000364904
          37      2.9638     2.96378 0.000355042
          38     2.96343     2.96377 0.000345819
          39     2.96358     2.96377 0.000336986
          40     2.96404     2.96378  0.00032863
          41     2.96353     2.96377  0.00032067
          42      2.9639     2.96377 0.000313051
          43      2.9637     2.96377 0.000305776
          44      2.9636     2.96377 0.000298851
          45     2.96449     2.96378 0.000292643
          46     2.96384     2.96378 0.000286284
          47     2.96359     2.96378 0.000280222
          48     2.96422     2.96379 0.000274531
          49     2.96371     2.96379 0.000268932
          50     2.96432      2.9638 0.000263766
