# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00192222 0.000488444
    0.266667   0.0135259  0.00134493
    0.533333   0.0345537   0.0023803
         0.8   0.0624333  0.00361063
     1.06667   0.0929426  0.00393994
     1.33333    0.112063   0.0045164
         1.6    0.115072  0.00382421
     1.86667    0.118411   0.0028811
     2.13333     0.12882  0.00457182
         2.4   0.0996852  0.00817117
     2.66667   0.0741796  0.00366464
     2.93333   0.0708611  0.00218511
         3.2   0.0318093  0.00228217
     3.46667   0.0258667  0.00195598
     3.73333  0.00983333  0.00132673
           4  0.00471852 0.000968945
     4.26667  0.00200556 0.000447042
     4.53333 0.000931481 0.000294059
         4.8 0.000314815 0.000133385
     5.06667       5e-05 3.75163e-05
     5.33333           0           0
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
