# VELOCITY:     AVE_POFV:        ERROR:
           0  0.00139259 0.000403176
    0.266667   0.0075537  0.00090777
    0.533333   0.0181852  0.00185565
         0.8   0.0454278  0.00256953
     1.06667   0.0617759  0.00423116
     1.33333   0.0803056  0.00412388
         1.6   0.0986019   0.0039119
     1.86667   0.0989907  0.00336867
     2.13333     0.15415  0.00712743
         2.4    0.159183   0.0123407
     2.66667   0.0957426  0.00448014
     2.93333   0.0637796  0.00261762
         3.2    0.038387  0.00248774
     3.46667     0.02795  0.00177092
     3.73333   0.0195685  0.00193881
           4    0.018337  0.00179696
     4.26667  0.00854815 0.000867606
     4.53333  0.00188704 0.000506724
         4.8 0.000233333 0.000146852
     5.06667           0           0
     5.33333           0           0
         5.6           0           0
     5.86667           0           0
     6.13333           0           0
         6.4           0           0
     6.66667           0           0
     6.93333           0           0
         7.2           0           0
     7.46667           0           0
     7.73333           0           0
