#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.39509     1.39509           0
           2     1.38385     1.38947  0.00397422
           3     1.38611     1.38835   0.0028035
           4     1.38628     1.38783  0.00214971
           5      1.3827     1.38681  0.00194993
           6     1.39342     1.38791  0.00191164
           7      1.4203     1.39254  0.00458604
           8     1.44458     1.39904  0.00728927
           9     1.42645     1.40209  0.00708687
          10     1.42215     1.40409  0.00665611
          11     1.43279      1.4067  0.00654226
          12     1.41649     1.40752  0.00604775
          13     1.41346     1.40797  0.00559976
          14     1.40942     1.40808  0.00520073
          15     1.39323     1.40709  0.00494731
          16     1.38474     1.40569   0.0048312
          17     1.39035     1.40479  0.00463056
          18     1.39904     1.40447  0.00438433
          19     1.41118     1.40482  0.00416776
          20     1.45023     1.40709  0.00453585
          21     1.46421     1.40981   0.0050701
          22     1.46079     1.41213  0.00534297
          23      1.4571     1.41408  0.00545675
          24     1.44452     1.41535  0.00537477
          25     1.44625     1.41659  0.00529995
          26     1.44489     1.41768  0.00520672
          27     1.46561     1.41945  0.00530795
          28     1.48752     1.42188  0.00564763
          29     1.51568     1.42512  0.00631137
          30     1.50078     1.42764  0.00658561
          31     1.47652     1.42922  0.00655919
          32     1.47994      1.4308  0.00654297
          33     1.50264     1.43298  0.00669709
          34     1.54644     1.43632  0.00728427
          35     1.55637     1.43975  0.00784222
          36      1.6232     1.44484  0.00913126
          37      1.6827     1.45127   0.0109152
          38     1.72022     1.45835   0.0127173
          39     1.72636     1.46522   0.0141265
          40     1.71049     1.47135   0.0150454
          41     1.66499     1.47607   0.0154018
          42     1.61247     1.47932   0.0153737
          43     1.63127     1.48286   0.0154169
          44     1.68087     1.48736   0.0157096
          45     1.77353     1.49372   0.0165979
          46     1.86707     1.50183   0.0181131
          47     1.97077     1.51181   0.0202904
          48     2.07043     1.52345    0.022964
          49     2.15612     1.53636   0.0258718
          50     2.00504     1.54573   0.0269991
