#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.34045     3.34045           0
           2     3.34186     3.34115 0.000496441
           3      3.3196     3.33397  0.00587685
           4     3.29086     3.32319   0.0103216
           5     3.30101     3.31876  0.00916114
           6     3.29011     3.31398  0.00879096
           7     3.32699     3.31584  0.00772899
           8     3.35124     3.32026   0.0079292
           9     3.30357     3.31841  0.00726197
          10     3.26463     3.31303  0.00829132
          11     3.26387     3.30856  0.00865877
          12     3.26785     3.30517  0.00857604
          13     3.28876     3.30391  0.00800874
          14     3.28164     3.30232  0.00759299
          15     3.27188     3.30029  0.00735294
          16     3.28156     3.29912  0.00698595
          17     3.28146     3.29808  0.00665175
          18     3.31517     3.29903  0.00634964
          19      3.2758      3.2978  0.00613204
          20      3.2828     3.29705  0.00587117
          21     3.30044     3.29722  0.00559381
          22     3.33045     3.29873  0.00553982
          23      3.3134     3.29936  0.00533556
          24     3.30181     3.29947  0.00511422
          25     3.28838     3.29902  0.00492884
          26     3.30877      3.2994   0.0047535
          27      3.2873     3.29895  0.00459851
          28     3.28607     3.29849  0.00445724
          29     3.25473     3.29698  0.00455178
          30     3.27303     3.29618  0.00446951
          31     3.29092     3.29601  0.00432856
          32     3.27334      3.2953   0.0042509
          33     3.26687     3.29444  0.00420851
          34     3.26613     3.29361  0.00416629
          35     3.27076     3.29296  0.00409806
          36      3.2497     3.29176  0.00415662
          37     3.28439     3.29156  0.00404904
          38     3.26664      3.2909  0.00399521
          39     3.28349     3.29071  0.00389728
          40      3.2902      3.2907  0.00379987
          41      3.3003     3.29093   0.0037144
          42     3.28246     3.29073  0.00363143
          43     3.24306     3.28962  0.00371234
          44     3.25667     3.28887  0.00370272
          45     3.26607     3.28837  0.00365496
          46     3.28312     3.28825  0.00357728
          47      3.2388      3.2872  0.00365264
          48     3.27769       3.287  0.00358191
          49     3.30446     3.28736  0.00352649
          50     3.31332     3.28788  0.00349396
