#    BLOCK:   VELOCITY:    ACTUAL_POFV:
           1           0      0.0005
           1    0.266667     0.00825
           1    0.533333   0.0510093
           1         0.8   0.0807963
           1     1.06667    0.119963
           1     1.33333    0.154537
           1         1.6    0.121722
           1     1.86667    0.122759
           1     2.13333    0.123907
           1         2.4     0.08725
           1     2.66667   0.0386204
           1     2.93333   0.0286481
           1         3.2   0.0408981
           1     3.46667  0.00914815
           1     3.73333  0.00919444
           1           4  0.00197222
           1     4.26667 0.000574074
           1     4.53333     0.00025
           1         4.8           0
           1     5.06667           0
           1     5.33333           0
           1         5.6           0
           1     5.86667           0
           1     6.13333           0
           1         6.4           0
           1     6.66667           0
           1     6.93333           0
           1         7.2           0
           1     7.46667           0
           1     7.73333           0

           2           0  0.00583333
           2    0.266667   0.0118796
           2    0.533333   0.0481574
           2         0.8   0.0662315
           2     1.06667    0.105194
           2     1.33333    0.150556
           2         1.6    0.176148
           2     1.86667    0.125611
           2     2.13333    0.102454
           2         2.4   0.0511759
           2     2.66667   0.0508148
           2     2.93333   0.0476574
           2         3.2   0.0379907
           2     3.46667   0.0112222
           2     3.73333  0.00749074
           2           4  0.00158333
           2     4.26667           0
           2     4.53333           0
           2         4.8           0
           2     5.06667           0
           2     5.33333           0
           2         5.6           0
           2     5.86667           0
           2     6.13333           0
           2         6.4           0
           2     6.66667           0
           2     6.93333           0
           2         7.2           0
           2     7.46667           0
           2     7.73333           0

           3           0  0.00766667
           3    0.266667    0.018213
           3    0.533333   0.0463889
           3         0.8   0.0671389
           3     1.06667     0.11138
           3     1.33333    0.167991
           3         1.6    0.145565
           3     1.86667    0.131991
           3     2.13333     0.10325
           3         2.4   0.0571389
           3     2.66667   0.0418889
           3     2.93333   0.0416481
           3         3.2   0.0333148
           3     3.46667   0.0169722
           3     3.73333  0.00357407
           3           4  0.00540741
           3     4.26667 0.000472222
           3     4.53333           0
           3         4.8           0
           3     5.06667           0
           3     5.33333           0
           3         5.6           0
           3     5.86667           0
           3     6.13333           0
           3         6.4           0
           3     6.66667           0
           3     6.93333           0
           3         7.2           0
           3     7.46667           0
           3     7.73333           0

           4           0      0.0035
           4    0.266667   0.0154259
           4    0.533333   0.0373611
           4         0.8   0.0706759
           4     1.06667    0.129519
           4     1.33333    0.160167
           4         1.6    0.140454
           4     1.86667    0.124935
           4     2.13333     0.11163
           4         2.4   0.0622685
           4     2.66667   0.0428611
           4     2.93333   0.0549259
