# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.70208e-05  9.8919e-06
    0.872088  0.00125636 7.26008e-05
    0.897737   0.0241344 0.000341116
    0.923387    0.163035  0.00121495
    0.949037    0.564492  0.00225903
    0.974686     1.20068  0.00400585
     1.00034     1.86071  0.00395202
     1.02599     2.34259  0.00403058
     1.05164     2.55643  0.00279413
     1.07728      2.5549   0.0034347
     1.10293      2.4113  0.00308322
     1.12858     2.19986  0.00310598
     1.15423     1.97377  0.00230292
     1.17988     1.75662  0.00303817
     1.20553     1.56127  0.00266459
     1.23118     1.39079   0.0019413
     1.25683       1.244   0.0026656
     1.28248     1.12161  0.00243571
     1.30813     1.02369  0.00204646
     1.33378      0.9397  0.00239048
     1.35943    0.871165  0.00193867
     1.38508    0.816487  0.00174278
     1.41073    0.770399  0.00184084
     1.43638    0.736217  0.00193873
     1.46203    0.708326  0.00188527
     1.48768    0.687278  0.00156916
     1.51333     0.67557  0.00123992
     1.53898    0.668308    0.001569
     1.56463    0.669221  0.00147285
     1.59028     0.67292  0.00127659
     1.61593    0.684539  0.00134859
     1.64158    0.699533  0.00156729
     1.66723    0.724321  0.00133445
     1.69288     0.74968  0.00150404
     1.71853    0.782279  0.00136363
     1.74418    0.817564  0.00152396
     1.76983    0.856673  0.00185571
     1.79547    0.897348  0.00151706
     1.82112    0.941352  0.00137311
     1.84677    0.979602  0.00177623
     1.87242     1.01971  0.00189462
     1.89807     1.06125  0.00206856
     1.92372     1.09744  0.00216664
     1.94937     1.13131  0.00183845
     1.97502     1.16103  0.00159747
     2.00067     1.18553  0.00146068
     2.02632     1.20198  0.00142505
     2.05197     1.21205  0.00174801
     2.07762     1.21547  0.00121211
     2.10327     1.20764   0.0017413
     2.12892     1.19416  0.00122898
     2.15457     1.17494  0.00166685
     2.18022        1.15  0.00150174
     2.20587     1.12173  0.00153695
     2.23152     1.09404  0.00110073
     2.25717     1.06771  0.00139051
     2.28282     1.03765  0.00155101
     2.30847     1.01267  0.00134331
     2.33412    0.987116  0.00173813
     2.35977     0.96585  0.00153594
     2.38542    0.947897  0.00114736
     2.41107    0.932324  0.00152626
     2.43672    0.918393  0.00116508
     2.46237    0.907656  0.00119512
     2.48802    0.893714   0.0011485
     2.51366    0.884938 0.000960273
     2.53931    0.885054 0.000963866
