# BLOCK:        DISTANCE:        ACTUAL_GOFR:
           1           0           0
           1   0.0256496           0
           1   0.0512993           0
           1   0.0769489           0
           1    0.102599           0
           1    0.128248           0
           1    0.153898           0
           1    0.179547           0
           1    0.205197           0
           1    0.230847           0
           1    0.256496           0
           1    0.282146           0
           1    0.307796           0
           1    0.333445           0
           1    0.359095           0
           1    0.384745           0
           1    0.410394           0
           1    0.436044           0
           1    0.461694           0
           1    0.487343           0
           1    0.512993           0
           1    0.538642           0
           1    0.564292           0
           1    0.589942           0
           1    0.615591           0
           1    0.641241           0
           1    0.666891           0
           1     0.69254           0
           1     0.71819           0
           1     0.74384           0
           1    0.769489           0
           1    0.795139           0
           1    0.820788           0
           1    0.846438           0
           1    0.872088           0
           1    0.897737   0.0330424
           1    0.923387    0.172138
           1    0.949037    0.625502
           1    0.974686     1.22232
           1     1.00034     1.85616
           1     1.02599     2.39045
           1     1.05164     2.56438
           1     1.07728     2.51471
           1     1.10293      2.3353
           1     1.12858     2.11665
           1     1.15423     1.90485
           1     1.17988     1.72617
           1     1.20553     1.50897
           1     1.23118     1.43932
           1     1.25683     1.29838
           1     1.28248      1.1475
           1     1.30813     1.05177
           1     1.33378    0.928577
           1     1.35943    0.871022
           1     1.38508    0.810944
           1     1.41073    0.801103
           1     1.43638     0.74277
           1     1.46203    0.691754
           1     1.48768     0.74186
           1     1.51333     0.70221
           1     1.53898    0.679428
           1     1.56463    0.666517
           1     1.59028     0.67614
           1     1.61593    0.659493
           1     1.64158    0.714874
           1     1.66723    0.755281
           1     1.69288    0.732663
           1     1.71853    0.776916
           1     1.74418     0.78492
           1     1.76983    0.835105
           1     1.79547    0.862557
           1     1.82112    0.951477
           1     1.84677    0.990485
           1     1.87242      1.0276
           1     1.89807     1.07469
           1     1.92372     1.12867
           1     1.94937     1.11912
           1     1.97502     1.14752
           1     2.00067     1.16476
           1     2.02632     1.17568
           1     2.05197     1.19706
           1     2.07762     1.22913
           1     2.10327     1.18857
           1     2.12892     1.19285
           1     2.15457     1.14954
           1     2.18022     1.16004
           1     2.20587     1.14544
           1     2.23152     1.10465
           1     2.25717     1.09528
           1     2.28282     1.06995
           1     2.30847     1.02254
           1     2.33412    0.965514
           1     2.35977    0.955997
           1     2.38542    0.937125
           1     2.41107    0.914763
           1     2.43672    0.907351
           1     2.46237    0.918008
           1     2.48802    0.914775
           1     2.51366    0.904447
           1     2.53931    0.895659

           2           0           0
           2   0.0256496           0
           2   0.0512993           0
           2   0.0769489           0
           2    0.102599           0
           2    0.128248           0
           2    0.153898           0
           2    0.179547           0
           2    0.205197           0
           2    0.230847           0
           2    0.256496           0
           2    0.282146           0
           2    0.307796           0
           2    0.333445           0
           2    0.359095           0
           2    0.384745           0
           2    0.410394           0
           2    0.436044           0
           2    0.461694           0
           2    0.487343           0
           2    0.512993           0
           2    0.538642           0
           2    0.564292           0
           2    0.589942           0
           2    0.615591           0
           2    0.641241           0
           2    0.666891           0
           2     0.69254           0
           2     0.71819           0
           2     0.74384           0
           2    0.769489           0
           2    0.795139           0
           2    0.820788           0
           2    0.846438           0
           2    0.872088  0.00169655
           2    0.897737    0.024208
           2    0.923387    0.155792
           2    0.949037    0.590961
           2    0.974686     1.20874
           2     1.00034     1.89971
           2     1.02599     2.45796
           2     1.05164     2.52464
           2     1.07728     2.56324
           2     1.10293     2.38898
           2     1.12858     2.23927
           2     1.15423      1.9194
           2     1.17988     1.72975
           2     1.20553     1.60075
           2     1.23118     1.44818
           2     1.25683     1.25592
           2     1.28248     1.12225
           2     1.30813     1.02131
           2     1.33378    0.920439
           2     1.35943    0.878897
           2     1.38508    0.802289
           2     1.41073    0.738769
           2     1.43638    0.703891
           2     1.46203    0.666745
           2     1.48768    0.635438
           2     1.51333    0.647466
           2     1.53898    0.661758
           2     1.56463    0.654872
           2     1.59028     0.66147
           2     1.61593     0.69853
           2     1.64158    0.703329
           2     1.66723    0.717002
           2     1.69288    0.725776
           2     1.71853    0.772148
           2     1.74418    0.820641
           2     1.76983     0.89124
           2     1.79547    0.921877
           2     1.82112    0.960659
           2     1.84677    0.996518
           2     1.87242     1.03764
           2     1.89807     1.09368
           2     1.92372     1.12711
           2     1.94937     1.17685
           2     1.97502      1.1684
           2     2.00067     1.17742
           2     2.02632     1.20024
           2     2.05197     1.18581
           2     2.07762     1.20228
           2     2.10327     1.20102
           2     2.12892     1.17286
           2     2.15457     1.18065
           2     2.18022     1.16516
           2     2.20587     1.15558
           2     2.23152     1.11885
           2     2.25717     1.05949
           2     2.28282      1.0445
           2     2.30847    0.999997
           2     2.33412    0.972861
           2     2.35977    0.928906
           2     2.38542    0.928903
           2     2.41107    0.913351
           2     2.43672    0.902331
           2     2.46237    0.881253
           2     2.48802    0.873311
           2     2.51366    0.887616
           2     2.53931    0.877841

           3           0           0
           3   0.0256496           0
           3   0.0512993           0
           3   0.0769489           0
           3    0.102599           0
           3    0.128248           0
           3    0.153898           0
           3    0.179547           0
           3    0.205197           0
           3    0.230847           0
           3    0.256496           0
           3    0.282146           0
           3    0.307796           0
           3    0.333445           0
           3    0.359095           0
           3    0.384745           0
           3    0.410394           0
           3    0.436044           0
           3    0.461694           0
           3    0.487343           0
           3    0.512993           0
           3    0.538642           0
           3    0.564292           0
           3    0.589942           0
           3    0.615591           0
           3    0.641241           0
           3    0.666891           0
           3     0.69254           0
           3     0.71819           0
           3     0.74384           0
           3    0.769489           0
           3    0.795139           0
           3    0.820788           0
           3    0.846438           0
           3    0.872088 0.000229263
           3    0.897737   0.0229521
           3    0.923387    0.181191
           3    0.949037    0.579978
           3    0.974686     1.26253
           3     1.00034     1.89744
           3     1.02599     2.33987
           3     1.05164     2.64357
           3     1.07728     2.61941
           3     1.10293     2.36761
           3     1.12858     2.15014
           3     1.15423     1.95401
           3     1.17988     1.76933
           3     1.20553     1.52622
           3     1.23118     1.39287
           3     1.25683     1.24639
           3     1.28248     1.09389
           3     1.30813    0.974968
           3     1.33378    0.874361
           3     1.35943    0.855195
           3     1.38508    0.808739
           3     1.41073    0.771708
           3     1.43638    0.750429
           3     1.46203    0.714155
           3     1.48768    0.662454
           3     1.51333    0.659938
           3     1.53898    0.667857
           3     1.56463    0.692448
           3     1.59028    0.708654
           3     1.61593    0.695822
           3     1.64158    0.691705
           3     1.66723    0.704128
           3     1.69288    0.743487
           3     1.71853    0.754204
           3     1.74418    0.806764
           3     1.76983    0.845907
           3     1.79547    0.893249
           3     1.82112    0.969402
           3     1.84677    0.985781
           3     1.87242     1.01821
           3     1.89807     1.06772
           3     1.92372     1.15106
           3     1.94937     1.17811
           3     1.97502     1.20167
           3     2.00067     1.20781
           3     2.02632     1.20639
           3     2.05197     1.20995
           3     2.07762     1.21436
           3     2.10327     1.21518
           3     2.12892     1.17981
           3     2.15457     1.16445
           3     2.18022     1.16106
           3     2.20587     1.13927
           3     2.23152     1.07514
           3     2.25717     1.04682
           3     2.28282     1.02981
           3     2.30847     1.00753
           3     2.33412    0.970358
           3     2.35977    0.946895
           3     2.38542    0.907713
           3     2.41107     0.89589
           3     2.43672    0.922606
           3     2.46237    0.894522
           3     2.48802    0.851246
           3     2.51366    0.858791
           3     2.53931    0.871292

           4           0           0
           4   0.0256496           0
           4   0.0512993           0
           4   0.0769489           0
           4    0.102599           0
           4    0.128248           0
           4    0.153898           0
           4    0.179547           0
           4    0.205197           0
           4    0.230847           0
           4    0.256496           0
           4    0.282146           0
           4    0.307796           0
           4    0.333445           0
           4    0.359095           0
           4    0.384745           0
           4    0.410394           0
           4    0.436044           0
           4    0.461694           0
           4    0.487343           0
           4    0.512993           0
           4    0.538642           0
           4    0.564292           0
           4    0.589942           0
           4    0.615591           0
           4    0.641241           0
           4    0.666891           0
           4     0.69254           0
           4     0.71819           0
           4     0.74384           0
           4    0.769489           0
           4    0.795139           0
           4    0.820788           0
           4    0.846438           0
           4    0.872088  0.00146728
           4    0.897737   0.0209601
           4    0.923387    0.173653
           4    0.949037    0.616149
           4    0.974686     1.21724
           4     1.00034     1.83314
           4     1.02599     2.37957
           4     1.05164     2.65869
           4     1.07728      2.5888
           4     1.10293      2.3216
           4     1.12858     2.14876
           4     1.15423     1.94508
           4     1.17988     1.75068
           4     1.20553     1.53183
           4     1.23118     1.35806
           4     1.25683     1.24875
           4     1.28248     1.12595
           4     1.30813     1.02335
           4     1.33378      0.9483
           4     1.35943    0.862384
           4     1.38508    0.816695
           4     1.41073     0.77752
           4     1.43638    0.766278
           4     1.46203    0.697862
           4     1.48768    0.666377
           4     1.51333    0.669759
           4     1.53898    0.681754
           4     1.56463    0.682073
           4     1.59028    0.647539
           4     1.61593    0.661266
           4     1.64158    0.680685
           4     1.66723    0.701392
           4     1.69288    0.768146
           4     1.71853    0.795423
           4     1.74418    0.844451
           4     1.76983    0.880257
           4     1.79547    0.914926
           4     1.82112    0.952086
           4     1.84677    0.998896
           4     1.87242     1.00414
           4     1.89807     1.06674
           4     1.92372     1.13235
           4     1.94937      1.1815
           4     1.97502     1.18622
           4     2.00067     1.20548
           4     2.02632     1.22387
           4     2.05197     1.22221
           4     2.07762     1.20515
           4     2.10327     1.16906
           4     2.12892     1.17738
           4     2.15457     1.15217
           4     2.18022     1.11295
           4     2.20587     1.10245
           4     2.23152     1.07739
           4     2.25717     1.04233
           4     2.28282     1.00097
           4     2.30847    0.984137
           4     2.33412    0.992158
           4     2.35977    0.954435
           4     2.38542     0.94162
           4     2.41107    0.936948
           4     2.43672    0.907615
           4     2.46237    0.896662
           4     2.48802    0.885712
           4     2.51366    0.877523
           4     2.53931    0.879771

           5           0           0
           5   0.0256496           0
           5   0.0512993           0
           5   0.0769489           0
           5    0.102599           0
           5    0.128248           0
           5    0.153898           0
           5    0.179547           0
           5    0.205197           0
           5    0.230847           0
           5    0.256496           0
           5    0.282146           0
           5    0.307796           0
           5    0.333445           0
           5    0.359095           0
           5    0.384745           0
           5    0.410394           0
           5    0.436044           0
           5    0.461694           0
           5    0.487343           0
           5    0.512993           0
           5    0.538642           0
           5    0.564292           0
           5    0.589942           0
           5    0.615591           0
           5    0.641241           0
           5    0.666891           0
           5     0.69254           0
           5     0.71819           0
           5     0.74384           0
           5    0.769489           0
           5    0.795139           0
           5    0.820788           0
           5    0.846438           0
           5    0.872088 0.000687789
           5    0.897737   0.0258103
           5    0.923387    0.193849
           5    0.949037    0.612035
           5    0.974686      1.2788
           5     1.00034     1.92706
           5     1.02599     2.41773
           5     1.05164     2.56739
           5     1.07728     2.54982
           5     1.10293     2.41592
           5     1.12858     2.17789
           5     1.15423     1.93743
           5     1.17988     1.70926
           5     1.20553     1.58207
           5     1.23118     1.43885
           5     1.25683     1.25238
           5     1.28248     1.08974
           5     1.30813     0.99497
           5     1.33378    0.937389
           5     1.35943    0.861259
           5     1.38508    0.789225
           5     1.41073    0.721369
           5     1.43638    0.708216
           5     1.46203    0.678449
           5     1.48768    0.667063
           5     1.51333    0.685483
           5     1.53898    0.675745
           5     1.56463    0.651163
           5     1.59028    0.678641
           5     1.61593    0.664664
           5     1.64158    0.684949
           5     1.66723    0.744302
           5     1.69288    0.779661
           5     1.71853    0.819022
           5     1.74418    0.868831
           5     1.76983    0.859071
           5     1.79547    0.901112
           5     1.82112    0.944676
           5     1.84677     1.01303
           5     1.87242     1.03694
           5     1.89807     1.07741
           5     1.92372     1.11338
           5     1.94937     1.17139
           5     1.97502     1.18303
           5     2.00067     1.21542
           5     2.02632     1.19717
           5     2.05197     1.17565
           5     2.07762     1.20936
           5     2.10327     1.20098
           5     2.12892     1.18864
           5     2.15457     1.17049
           5     2.18022     1.12821
           5     2.20587     1.12661
           5     2.23152     1.08573
           5     2.25717     1.02716
           5     2.28282     0.99383
           5     2.30847    0.998098
           5     2.33412    0.971264
           5     2.35977    0.968436
           5     2.38542    0.938143
           5     2.41107    0.902875
           5     2.43672     0.88643
           5     2.46237    0.887349
           5     2.48802     0.89669
           5     2.51366    0.907687
           5     2.53931    0.909783

           6           0           0
           6   0.0256496           0
           6   0.0512993           0
           6   0.0769489           0
           6    0.102599           0
           6    0.128248           0
           6    0.153898           0
           6    0.179547           0
           6    0.205197           0
           6    0.230847           0
           6    0.256496           0
           6    0.282146           0
           6    0.307796           0
           6    0.333445           0
           6    0.359095           0
           6    0.384745           0
           6    0.410394           0
           6    0.436044           0
           6    0.461694           0
           6    0.487343           0
           6    0.512993           0
           6    0.538642           0
           6    0.564292           0
           6    0.589942           0
           6    0.615591           0
           6    0.641241           0
           6    0.666891           0
           6     0.69254           0
           6     0.71819           0
           6     0.74384           0
           6    0.769489           0
           6    0.795139           0
           6    0.820788           0
           6    0.846438           0
           6    0.872088  0.00178825
           6    0.897737   0.0283654
           6    0.923387    0.179184
           6    0.949037    0.570974
           6    0.974686     1.21555
           6     1.00034     1.87407
           6     1.02599     2.41294
           6     1.05164     2.61191
           6     1.07728     2.59639
           6     1.10293     2.44167
           6     1.12858     2.19454
           6     1.15423     1.95164
           6     1.17988     1.72102
           6     1.20553     1.48295
           6     1.23118     1.36212
           6     1.25683     1.21371
           6     1.28248      1.1316
           6     1.30813     1.06454
           6     1.33378    0.965587
           6     1.35943    0.882406
           6     1.38508    0.820793
           6     1.41073    0.768962
           6     1.43638     0.72357
           6     1.46203    0.697647
           6     1.48768    0.685866
           6     1.51333    0.639372
           6     1.53898    0.639764
           6     1.56463    0.636979
           6     1.59028    0.659025
           6     1.61593    0.678267
           6     1.64158    0.700298
           6     1.66723    0.726861
           6     1.69288    0.755989
           6     1.71853    0.774209
           6     1.74418    0.810824
           6     1.76983    0.867636
           6     1.79547     0.91866
           6     1.82112    0.928577
           6     1.84677    0.986965
           6     1.87242      1.0226
           6     1.89807     1.08649
           6     1.92372     1.12823
           6     1.94937     1.13556
           6     1.97502     1.17204
           6     2.00067     1.19292
           6     2.02632     1.21937
           6     2.05197     1.22674
           6     2.07762     1.23758
           6     2.10327     1.21908
           6     2.12892       1.204
           6     2.15457     1.19085
           6     2.18022     1.18193
           6     2.20587     1.12532
           6     2.23152     1.10581
